交易代号,交易名称,证券名称,市值（百万元）,板块,GTI 得分
S23,Spura Finance ,富雅金融,115.047,Banking & Investment Services,87
40F,Alita Resources ,联盟矿产,113.912,Mineral Resources,48
BQM,Tiong Woon ,长运,113.795,Industrial Goods,86
5AE,Pollux Prop,Pollux Prop,113.138,Real Estate,63
5VS,Hafary ,合发利,111.943,Cyclical Consumer Products,64
564,Spindex Ind ,事必得精密机械,111.904,Industrial Goods,72
1B0,MM2 Asia,MM2 Asia,108.834,Cyclical Consumer Services,66
T12,Tat Seng Pkg ,达成包装,108.468,Applied Resources,75
1F2,Union Gas ,优联燃气,108.041,Utilities,77
C8R,Jiutian Chemical ,九天化工,107.233,Chemicals,57
S44,EnGro ,昂国企业,106.832,Mineral Resources,69
M14,InnoTek ,英诺特,104.829,Technology Equipment,77
S19,SingShipping ,新加坡船务,102.103,Industrial Goods,81
BCY,Powermatic Data ,自力资讯系统,100.964,Technology Equipment,63
C9Q,Sinostar Pec ,中星石化,100.346,Energy - Fossil Fuels,74
42F,Totm Tech ,图腾科技,99.233,Financial Technology (Fintech) & Infrastructure,60
DU4,Mermaid Maritime ,MERMAID海事,98.399,Energy - Fossil Fuels,62
CEDU,Dasin Retail Tr,Dasin Retail Tr,98.146,Real Estate,74.6
RQ1,Overseas Edu,Overseas Edu,97.61,Academic & Educational Services,87
1G1,RE&S Hldg,RE&S Hldg,97.35,Cyclical Consumer Services,96
C76,Creative ,创新科技,95.482,Technology Equipment,38
5WJ,MoneyMax Fin ,银丰当,95.084,Retailers,68
566,SHS ,四合成,94.257,Industrial & Commercial Services,70
8K7,UGHealthcare ,优格医疗保健,91.702,Healthcare Services,92
P74,ChinaKangdaFood ,中国康大食品,91.351,Food & Beverages,56
BLH,Hai Leck ,海陆,90.637,Energy - Fossil Fuels,58
533,ABR,ABR,90.448,Food & Beverages,50
5HV,Koh Eco ,許兄弟環保,90.174,Industrial & Commercial Services,63
42T,Trendlines ,趋势线,89.453,Banking & Investment Services,96
N08,New Toyo ,新東洋國際,87.885,Applied Resources,71
1J5,Hyphens Pharma ,凯帆药剂国际,86.576,Pharmaceuticals & Medical Research,88
M05,MTQ ,万度力,85.523,Energy - Fossil Fuels,73
L38,AF Global ,AF环球,85.507,Cyclical Consumer Services,65
NR7,Raffles Edu ,莱佛士教育,84.59,Academic & Educational Services,60
VI2,TC Auto ,耀华汽车,84.203,Automobiles & Auto Parts,54
RS1,China Env Res ,中国环境资源,83.498,Automobiles & Auto Parts,
QSD,Resources Gbl,Resources Gbl,82.8,Energy - Fossil Fuels,78
Y35,AnAn Intl ,安安国际,79.997,Energy - Fossil Fuels,32
K29,Karin Tech ,嘉灵,77.418,Technology Equipment,75
5ML,Old Chang Kee ,老曾记,77.073,Cyclical Consumer Services,77
CIN,Courage Inv ,勇利投資,76.89,Transportation,
5TP,CNMC Goldmine ,中色金矿,76.233,Mineral Resources,65
546,Medtecs Intl ,美德向邦医疗,75.956,Healthcare Services,60
G0I,Nam Lee Metal ,南利压制金属,75.561,Cyclical Consumer Products,65
5OI,Japan Foods ,日本食品,74.135,Cyclical Consumer Services,79
5CF,OKP ,胡金标,72.481,Industrial & Commercial Services,73
S69,Serial System ,新晔科技,72.072,Industrial Goods,83
5CT,EcoWise ,绿科,71.711,Industrial & Commercial Services,78
AWI,Thakral ,德加拉,71.611,Real Estate,89
CHJ,Uni-Asia Grp ,联亚,71.531,Industrial & Commercial Services,87
569,Vicplas Intl ,威百亿国际,71.104,Healthcare Services,67
BVQ,Procurri ,Procurri奇益,70.519,Software & IT Services,87
42C,IX Biopharma ,IX生物制药,68.967,Pharmaceuticals & Medical Research,72
42E,Choo Chiang ,珠江电器贸易,68.64,Industrial Goods,69
5G2,Kim Heng ,金兴海运探油,67.45,Energy - Fossil Fuels,63
A78,Shen Yao ,申垚,67.412,Mineral Resources,63
F86,MYP,MYP,66.884,Real Estate,67
5DM,Ying Li Intl ,英利国际置业股份,66.395,Real Estate,87
5DS,MegaChem ,鸿翊化学品,65.983,Chemicals,81
BQD,Envictus ,恒益德国际,65.014,Cyclical Consumer Services,53
5MZ,KingsmenCreative ,金明创新,64.623,Industrial & Commercial Services,77
NXR,iWOW Tech ,爱物联科技,64.531,Technology Equipment,
K75,Koh Bros ,許兄弟,63.51,Industrial & Commercial Services,64
BXE,CDW,CDW,62.704,Technology Equipment,85
Y3D,MDR Limited,MDR Limited,62.588,Retailers,
C13,CH Offshore ,泉合近海,61.713,Energy - Fossil Fuels,68
1B1,HC Surgical,HC Surgical,59.801,Healthcare Services,70
URR,Sim Leisure,Sim Leisure,59.134,Cyclical Consumer Services,44
G50,Grand Banks ,GB,59.083,Cyclical Consumer Products,71
595,GKE ,锦佳,58.808,Transportation,83
I49,IFS Capital ,IFS资本,58.651,Banking & Investment Services,56
5TT,Keong Hong ,强枫,58.216,Industrial & Commercial Services,57
S7P,Soilbuild Const ,速美建筑,58.092,Industrial & Commercial Services,80
BDA,PNE Industries ,平易工业,56.644,Industrial Goods,52
1AZ,Audience,Audience,54.528,Cyclical Consumer Services,52
P36,Pan Hong ,汎港,54.407,Real Estate,80
