isin,market,segment.translations.others,instrumentType.originalValue,instrumentType,securityType,originCountryCode,originCountry,industrySector.originalValue,industrySector,sector,subsector
FR0000120578,Open Market,,1002,Common shares,Bearer share,FR,France,51,Chemistry/pharmacy,,
US2441991054,Open Market,,1002,Common shares,Registered share,US,USA,91,Automotive and mechanical engineering,,
US3364331070,Open Market,,1002,Common shares,Registered share,US,USA,70,Service/energy,,
US9100471096,Open Market,,1002,Common shares,Registered share,US,USA,180,Holding companies,,
DE000A2GS609,Open Market,Basic Board,1002,Common shares,Bearer share,DE,Germany,174,Internet Service Provider,Financial Services,Diversified Financial
US4878361082,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
DE000BFB0027,Regulated Market,Prime Standard,1003,Preffered shares,Bearer share,DE,Germany,180,Holding companies,Retail,"Retail, Multiline"
LU2010095458,Regulated Market,Prime Standard,1002,Common shares,Bearer share,LU,Luxembourg ,900,Foreign shares,Retail,"Retail, Internet"
US31428X1063,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
AT0000746409,Open Market,,1002,Common shares,Bearer share,AT,Austria,70,Service/energy,,
US8334451098,Open Market,,1002,Common shares,Registered share,US,USA,172,Software,,
US4824801009,Open Market,,1002,Common shares,Registered share,US,USA,61,Electronic engineering,,
NL0010773842,Open Market,,1002,Common shares,Registered share,NL,Netherlands ,900,Foreign shares,,
DE000A0KF6M8,Regulated Market,General Standard,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Industrial,Heavy Machinery
US5184391044,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
US9078181081,Open Market,,1002,Common shares,Registered share,US,USA,180,Holding companies,,
US75513E1010,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
US5738741041,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
DE0005759807,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Technology,Electronic Components & Hardware
DE0006464506,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,150,Consumer goods/food/breweries/paper,Consumer,Household Appliances & Housewares
FR0000120172,Open Market,,1002,Common shares,Bearer share,FR,France,140,Stores,,
US4943681035,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
US1858991011,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
US8552441094,Open Market,,1002,Common shares,Registered share,US,USA,150,Consumer goods/food/breweries/paper,,
US0258161092,Open Market,,1002,Common shares,Registered share,US,USA,81,Bank/insurance,,
US58733R1023,Open Market,,1002,Common shares,Registered share,US,USA,900,Foreign shares,,
DE0006569908,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Financial Services,Diversified Financial
DE0005854343,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,173,Telecommunication Services,Telecommunication,Fixed-Line Telecommunication
US6974351057,Open Market,,1002,Common shares,Registered share,US,USA,172,Software,,
US1101221083,Open Market,,1002,Common shares,Registered share,US,USA,51,Chemistry/pharmacy,,
US98980G1022,Open Market,,1002,Common shares,Registered share,US,USA,172,Software,,
US9182041080,Open Market,,1002,Common shares,Registered share,US,USA,171,Trade,,
DE000A3CRRN9,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,150,Consumer goods/food/breweries/paper,Technology,Electronic Components & Hardware
DE000A0LR9G9,Open Market,Scale,1002,Common shares,Registered share,DE,Germany,180,Holding companies,Software,Software
DE0006200108,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Industrial,"Industrial, Diversified"
AU0000066086,Regulated Market,Prime Standard,1002,Common shares,Registered share,AU,Australia ,900,Foreign shares,Chemicals,"Chemicals, Specialty"
