logoid,dr_name
emirates-telecom-company-etisalat-pjsc,阿联酋电信
enbridge,恩桥
endeavor,Endeavor Group Holdings
endesa,Endesa
enel,意大利国家电力
eneos-holdings,ENEOS控股
energy-transfer,能源转换
engie,Engie
eni,埃尼石油
enn-energy-holdings-ltd,新奥能源
enphase-energy,Enphase Energy
entegris,英特格
entergy,安特吉
enterprise-prods-partners,Enterprise Products Partners LP
eog,EOG能源
e-on,E.ON
epam-sys,EPAM Systems
epiroc-ab-ser-b,Epiroc
eqt,EQT能源
eqt-ab,殷拓集团
equifax,艾可菲
equinix,易昆尼克斯
equinor,Equinor ASA
equity-lifestyle-properties,宜居生活资产信托
equity-residential,公平住屋
ericsson,爱立信
essential-utilities,Essential Utilities
essex-property-trust,埃塞克斯信托
essilorluxottica,EssilorLuxottica
essity-ab-ser-b,爱适瑞
estee-lauder,雅诗兰黛
e-sun-financial,玉山金
etsy,Etsy
eve-energy-co-ltd,亿纬锂能
evergy,Evergy
eversource-energy,能源方案
exact-sciences,精密科学
exelon,爱克斯龙电力
expedia,亿客行
expeditors,康捷国际物流
experian,益百利
extra-space-storage,Extra Space Storage
exxon,埃克森美孚
factset-research-systems,辉盛研究系统
fair-isaac,Fair Isaac
fanuc,发那科
fastenal,快扣
fedex,联邦快递
femsa,Fomento Económico Mexicano SAB de CV
ferguson,弗格森
ferrari,法拉利
ferrovial,法罗里奥
fidelity,富达国民金融
fidelity-information-services,富达国民信息服务
fifth-third-bancorp,五三银行
first-citizens-bancshares,第一公民银行股份
firstenergy,第一能源
first-financial-co-ltd,第一金
first-solar,第一太阳能
fiserv,费哲金融服务
five-below,Five Below
fleetcor-technologies,FleetCor Technologies
flex,伟创力
floor-and-decor,Floor & Decor Holdings
fmc,FMC
ford,福特汽车
ford-otosan,福特Otosan
formosa-chemical,台化
formosa-petrochemical,台塑化
formosa-plastic,台塑
fortescue-metals-group,福特斯克金属
fortinet,防特网
fortis,Fortis
fortive,Fortive
foshan-haitian-flavouring-and-food-company-ltd,海天味业
fox,福克斯
foxconn-industrial-internet,工业富联
franco-nevada,Francoevada
franklin-resources,富兰克林资源
freeport-mcmoran,自由港麦克莫兰
fresenius-medical-care,费森尤斯医疗
fubon,富邦金
fujifilm,富士胶片
fujitsu,富士通
galaxy-ent,银河娱乐
gallagher,亚瑟加拉格尔
gaming-and-leisure-properties,Gaming and Leisure Properties
ganfeng-lithium,赣锋锂业
garmin-ltd,佳明
gartner,加特纳
gazprom,俄罗斯天然气工业
geely-auto,吉利汽车
ge-healthcare-technologies,GE HealthCare Technologies
general-dynamics,通用动力
general-electric,通用电气
generali-assicurazioni,忠利保险
general-mills,通用磨坊
general-motors,通用汽车
genmab-a-s,Genmab
gfl-environmental,GFL Environmental
gilead,吉利德科学
givaudan-n,奇华顿
glaxosmithkline,葛兰素史克
glencore,嘉能可
globalfoundries,GLOBALFOUNDRIES
global-payments,环汇
globe-life,环球人寿
godaddy,GoDaddy
golden-sachs-etf-trust-goldman,高盛
gold-fields,金田
gpc,通用配件
grab,Grab Holdings
graco,固瑞克
grainger,固安捷
greatwall-motor,长城汽车
great-west-lifeco,大西部人寿
gree-elec-applican,格力电器
guangzhou-automobile-group-co-ltd,广汽集团
guotai-junan-securities-co-ltd,国泰君安
haidilao,海底捞
haier-smart-home,海尔智家
haleon-plc,Haleon
halliburton,哈里伯顿
halma,英国豪迈
h-and-m,H&M
hang-seng-bank,恒生银行
hangzhou-hikvision,海康威视
hannover-rueck,汉诺威再保险
hapag-lloyd-ag,赫伯罗特
hartford-financial-services-grp,哈特福德金融
hca-healthcare,HCA Healthcare
hdfc-bank,HDFC银行
healthpeak-properties,Healthpeak Properties
heico,海科航空
heineken,喜力
henan-shuang-inve,双汇发展
henderson-land-development-co,恒基地产
hengli-petrochemical,恒力石化
henkel,汉高
henry-jack-and-associates,杰克亨利
henry-schein,亨利香恩服务
hermes,爱马仕
hershey,好时
hess,赫斯
hewlett-packard-enterprise,慧与
hexagon-ab,Hexagon AB
hilton-worldwide,希尔顿酒店
hitachi,日立
hk-and-china-gas,香港中华煤气
hkex,香港交易所
holcim-n,霍尔希姆
hologic,豪洛捷
home-depot,家得宝
honda,本田
honeywell,霍尼韦尔
hongkongland,置地
hon-hai,鸿海
horizon-pharma,Horizon Therapeutics
hormel-foods,荷美尔食品
host-hotels,HOST酒店及度假村
hotai-motor,和泰车
howmet-aerospace,Howmet Aerospace
hoya,豪雅
hp,惠普
hsbc,汇丰控股
huaneng-lancang-river-hydropower,华能水电
huaneng-power,华能国际
huatai-securities-coltd,华泰证券
huazhu,华住
hubbell,哈勃集团
hubspot,HubSpot
humana,哈门那
