股票代码,股票简称,主营
600815.SH,厦工股份,"土石方机械,隧道掘进机械,商业贸易,配件,装备租赁,工程机械"
002653.SZ,海思科,"医药,原料药及专利技术,麻醉,肠外营养系,肿瘤止吐,心脑血管,市场推广,肝胆消化,抗生素"
688116.SH,天奈科技,"新能源汽车动力锂电池,碳纳米管导电浆料,碳纳米管粉体,储能锂电池,NMP加工,非锂电池,C电子锂电池"
688696.SH,极米科技,"创新,投影仪整机及配件,互联网运营,激光电视,整机,互联网增值服务,配件,智能微投,互联网增值,投影整机"
600985.SH,淮北矿业,"煤化工分部,煤炭采选业,煤化工,甲醇,工程及劳务,商品贸易,电力销售,分部间抵销,商品贸易分部,商品煤,运输服务,爆破工程服务,煤炭分部,煤炭,民爆器材销售,焦炭,矿山"
600770.SH,综艺股份,"芯片设计及应用,太阳能电站,互联网信息及技术服务分部,制造分部,互联网信息技术服务业,本部分部,手机游戏,分部间抵销,股权投资分部,股权投资,光伏电站,计算机信息技术服务,光伏电站分部,制造业"
600791.SH,京能置业,"京能·天下川,京能·四合上院,金泰·丽富嘉园,房地产开发,京能·雍清丽苑,京能·海语城"
688201.SH,信安世纪,"移动安全,政府机构,通信安全,企业,数据安全,信息安全,云安全,金融保险,销售,第三方,安全平台,服务,技术服务,身份安全"
002176.SZ,江特电机,"采选,新能源电机,工业,军工电机,采选化工,三正极材料,四碳酸锂,汽车,四汽车,二采选,汽车生产制造,电机,伺服电机,碳酸锂,五汽车,一碳酸锂,传统电机"
002294.SZ,信立泰,"原料,医药制造业,医疗器械制造,制剂,医疗器械,器械"
300592.SZ,华凯易佰,"跨境出口电商,工艺收藏,空间环境艺术设计,企业馆,企业馆展示系统,C电子,健康美容,家居园艺,规划馆展示系统,博物馆展示系统,展厅展馆的设计布展,城市文化馆展示系统,工业及商业用品,汽车摩托车配件,户外运动"
603223.SH,恒通股份,"驾驶员培训,LNG(LPG)气体销售,货物运输,租赁代理及吊装,车辆预警与安全设备,装卸仓储"
300049.SZ,福瑞股份,"药品,医疗,自有药品,设备及技术,药品流通,药品生产及销售,流通药品"
301138.SZ,华研精机,"瓶坯智能成型系统,瓶坯制品,瓶坯模具,专用设备制造"
600309.SH,万华化学,"精细化学品及新材料,间抵销,精细化学品,化工,石化,聚氨酯"
688050.SH,爱博医疗,"人工晶状体,视光配套,医疗器械,手术配套,角膜塑形镜,视光"
301029.SZ,怡合达,"自动化零部件,机械加工件,机械小零件,工业框体结构部件,FA自动化零部件,光伏产业,气动元件,新能源,传动零部件,铝型材及配件,汽车,直线运动零件,电子电气,C,工业自动化设备,工业机器人"
000333.SZ,美的集团,"机器人及自动化系统,制造业,暖通空调,消费电器"
