isin,name,symbol,证券名称,industry,xetr_industry,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange,isShortable,feedQuality,feedQualitySecondary,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice
DE000A2E4SV8,Cyan,CYR,,Computer Communications,Software,D,EUR,194,XET,XETR,Xetra,False,D15,,cyan-ag,CYAN AG INH O.N.,cyan AG,,1.78,-2.1978021979,1837.5,33624200.0,2023-07-20T17:36:13+02:00
DE0005118806,11 88 0 Solutions,TGT,,Specialty Telecommunications,Telecommunication Services,D,EUR,194,XET,XETR,Xetra,False,D15,,11880-solutions-ag,11 88 0 SOLUTIONS AG,11880 Solutions AG,,0.925,2.7777777777,1822.25,23051000.0,2023-07-20T17:36:08+02:00
DE000A2BPK34,Black Pearl Digital,VRL,,,,D,EUR,194,XET,XETR,Xetra,False,D15,,net-digital-ag-inh-o-n,NET DIGITAL AG INH O.N.,,,3.52,3.5294117647,1750.0,5033600.0,2023-07-20T17:36:05+02:00
DE0006627201,Muehlbauer Holding,MUB,,Electronic Equipment/Instruments,Electronic Components & Hardware,D,EUR,194,XET,XETR,Xetra,False,D15,,muehlbauer-holding-ag,MUEHLBAUER HOLD.AG O.N.,Mühlbauer Holding AG,,62.5,0.8064516129,1302.0,918750000.0,2023-07-20T17:36:09+02:00
DE0005199905,Ludwig Beck am Rathauseck Textilhaus Feldmeier,ECK,,Department Stores,"Retail, Multiline",B,EUR,194,XET,XETR,Xetra,True,CX,D15,ludwig-beck-ag,LUDW.BECK A.RATHAUSECK,Ludwig Beck AG,,26.2,1.5503875968,1290.0,96940000.0,2023-07-20T17:36:07+02:00
AT0000652250,S Immo,T1L,,,,D,EUR,194,XET,XETR,Xetra,False,D15,,s-immo-ag,S IMMO AG,S IMMO AG,,12.38,1.3093289689,1240.0,911291800.0,2023-07-20T17:35:33+02:00
DE000A2DAN10,Softline,SFD1,,Information Technology Services,,C,EUR,194,XET,XETR,Xetra,False,CX,D15,softline-ag-o-n,SOFTLINE AG O.N.,,,0.58,-2.5210084034,1211.04,991800.0,2023-07-20T14:53:08+02:00
DE000A1EMG56,Sporttotal,WIG1,,Advertising/Marketing Services,Advertising,D,EUR,194,XET,XETR,Xetra,False,D15,,sporttotal-ag,SPORTTOTAL AG INH. O.N.,SPORTTOTAL AG,,1.16,1.7543859649,1160.0,35902000.0,2023-07-20T17:36:12+02:00
DE0005181606,Weng Fine Art,WFA,,Specialty Stores,,D,EUR,194,XET,XETR,Xetra,False,D15,,weng-fine-art-ag,WENG FINE ART AG NA O.N.,Weng Fine Art AG,,9.1,-1.5151515152,1103.62,50050000.0,2023-07-20T17:36:04+02:00
LU1618151879,Logwin SA,TGHN,,Trucking,Logistics,D,EUR,194,XET,XETR,Xetra,False,D15,,logwin-ag-nam-o-n,LOGWIN AG NAM. O.N.,,,250.0,2.4590163934,988.0,720000000.0,2023-07-20T17:35:53+02:00
