stock-id,name,trading-status,industry,business,child-business,market-cap,update-date,一级行业,二级行业,三级行业,证券名称,证券代码,总市值,asset_subtype,sym,mktcap,ls,am,ric,product_subtype,am_u,yld,pc,pe,nc,ccy,nm,mktcap_u,suspend,涨跌幅,最新价
00066,港鐵公司,N,非必需性消費,旅遊及休閒設施,公共運輸,216762024400.8,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,公共运输,港铁公司,00066.HK,2167.6,ODSH,66,216.76,34.950,,0066.HK,,,3.75,0.00,22.02,0.000,HKD,港鐵公司,B,,0.0,34.950
00069,香格里拉,N,非必需性消費,旅遊及休閒設施,酒店及度假村,21943413342.72,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,酒店及度假村,香格里拉,00069.HK,219.4,ODSH,69,21.94,6.120,,0069.HK,,,,0.00,,0.000,HKD,香格里拉（亞洲）,B,,0.0,6.120
00070,金粵控股,N,非必需性消費,旅遊及休閒設施,賭場及博彩,89185843.74,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,赌场及博彩,金粤控股,00070.HK,0.9,ODSH,70,89.18,0.046,,0070.HK,,,,0.00,,0.000,HKD,金粵控股,M,,0.0,0.046
00071,美麗華,N,非必需性消費,旅遊及休閒設施,旅遊及觀光,7683471808.4,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,旅游及观光,美丽华,00071.HK,76.8,ODSH,71,7.68,11.120,,0071.HK,,,4.50,0.00,16.00,0.000,HKD,美麗華酒店,B,,0.0,11.120
00072,超媒體控股,N,非必需性消費,媒體及娛樂,出版,170957537.01,2023-07-18T18:15:50,非必需性消费,媒体及娱乐,出版,超媒体控股,00072.HK,1.7,ODSH,72,170.95,0.390,,0072.HK,,,,0.00,,0.000,HKD,超媒體控股,M,,0.0,0.390
00073,亞洲果業,N,必需性消費,農產品,農產品相關,159976824.576,2023-07-18T18:15:50,必需性消费,农产品,农产品相关,亚洲果业,00073.HK,1.6,ODSH,73,159.97,0.064,,0073.HK,,,,0.00,,0.000,HKD,亞洲果業,M,,0.0,0.064
00075,渝太地產,N,地產建築,地產,地產投資,319822966.0,2023-07-18T18:15:50,地产建筑,地产,地产投资,渝太地产,00075.HK,3.2,ODSH,75,319.82,0.400,,0075.HK,,,,0.00,,0.000,HKD,渝太地產,M,,0.0,0.400
00076,誼礫控股,N,工業,工業工程,工業零件及器材,90711018.25,2023-07-18T18:15:50,工业,工业工程,工业零件及器材,谊砾控股,00076.HK,0.9,ODSH,76,90.71,0.250,,0076.HK,,,,0.00,20.00,0.000,HKD,誼礫控股,M,,0.0,0.250
00077,進智公共交通,N,非必需性消費,旅遊及休閒設施,公共運輸,209373010.0,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,公共运输,进智公共交通,00077.HK,2.1,ODSH,77,209.37,0.770,,0077.HK,,,11.69,0.00,5.33,0.000,HKD,進智公共交通,M,,0.0,0.770
00078,富豪國際,N,非必需性消費,旅遊及休閒設施,酒店及度假村,2903066935.59,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,酒店及度假村,富豪国际,00078.HK,29.0,ODSH,78,2.90,3.230,,0078.HK,,,,0.00,,0.000,HKD,REGAL INT'L,B,,0.0,3.230
00079,世紀建業,N,非必需性消費,支援服務,其他支援服務,35216361.684,2023-07-18T18:15:50,非必需性消费,支援服务,其他支援服务,世纪建业,00079.HK,0.4,ODSH,79,35.21,0.108,,0079.HK,,,,0.00,,0.000,HKD,世紀建業,M,,0.0,0.108
00080,中國新經濟投資,N,金融,其他金融,資產管理,229627847.676,2023-07-18T18:15:50,金融,其他金融,资产管理,中国新经济投资,00080.HK,2.3,ODSH,80,229.62,0.174,,0080.HK,,,,0.00,,0.000,HKD,中國新經濟投資,M,,0.0,0.174
00081,中國海外宏洋,N,地產建築,地產,地產發展商,12351030320.04,2023-07-18T18:15:50,地产建筑,地产,地产发展商,中国海外宏洋,00081.HK,123.5,ODSH,81,12.35,3.470,,0081.HK,,,6.05,0.00,3.39,0.000,HKD,中國海外宏洋集團,B,,0.0,3.470
00082,瘋狂體育,N,資訊科技,軟件服務,電商及互聯網服務,710603264.394,2023-07-18T18:15:50,科技,软件服务,电商及互联网服务,疯狂体育,00082.HK,7.1,ODSH,82,710.60,0.157,,0082.HK,,,,0.00,40.26,0.000,HKD,瘋狂體育,M,,0.0,0.157
