证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
688160.SH,步科股份,103.46,174.26,213.82,8.17,3.61,4.98,3.58,,0.0,41.03,0.79,21.8,0.01,270.15,118.57,69.98,0.02
688320.SH,禾川科技,49.43,-40.45,-24.92,3.95,-9.13,-7.82,-4.85,,0.0,-29.55,5.5,38.16,0.01,扣非亏损,扣非亏损,亏损,-0.99
688698.SH,伟创电气,152.73,50.99,61.87,6.6,9.66,10.15,6.63,0.15,22.39,3.53,26.79,35.5,0.01,2.31,6.4,5.02,0.17
300270.SZ,中威电子,28.88,-58.04,-52.47,5.95,-7.58,-7.4,-5.46,,0.0,14.29,2.37,29.33,0.01,扣非亏损,扣非亏损,亏损,-0.99
002592.SZ,ST八菱,26.27,22.75,28.21,2.89,8.75,10.04,7.77,2.41,0.0,98.47,3.6,24.62,0.01,7.85,6.45,4.53,0.17
920640.BJ,富士达,69.6,97.03,98.75,7.87,6.17,6.25,4.55,,0.0,77.53,9.47,36.98,0.01,10.42,32.01,31.05,0.05
301611.SZ,珂玛科技,157.61,143.79,142.4,27.15,15.0,15.04,12.09,,0.0,10.66,38.79,29.75,0.01,3.67,18.98,19.12,0.07
002595.SZ,豪迈科技,720.75,30.43,32.09,6.37,16.2,16.68,15.61,,0.0,27.83,13.81,17.04,0.01,2.32,3.96,3.65,0.27
301308.SZ,江波龙,894.99,143.88,920.38,18.16,6.84,10.19,5.87,,0.0,-3.62,26.49,58.93,0.01,34.74,269.03,28.24,0.02
300895.SZ,铜牛信息,79.84,-104.33,-64.52,10.4,-7.88,-7.2,-6.43,,0.0,0.68,3.43,14.59,0.01,扣非亏损,扣非亏损,亏损,-0.99
600666.SH,奥瑞德,100.66,29.52,-63.4,10.13,-1.75,29.55,16.74,,0.0,62.88,-16.91,29.1,0.01,扣非亏损,扣非亏损,2.0,-0.99
002633.SZ,申科股份,28.63,350.76,698.71,6.75,1.06,1.45,1.51,,0.0,-22.21,15.31,34.3,0.01,45.64,1318.08,483.8,0.02
300698.SZ,万马科技,43.44,112.67,139.83,9.54,6.39,6.56,2.85,,0.0,4.01,4.06,54.95,0.01,34.45,43.75,34.35,0.04
688279.SH,峰岹科技,157.52,86.92,105.0,3.9,4.04,5.34,4.41,,0.0,-2.24,23.69,2.86,0.01,4.43,51.92,32.55,0.03
300836.SZ,佰奥智能,34.96,75.75,92.73,8.99,8.53,8.94,4.26,,0.0,153.36,5.14,55.13,0.01,18.06,21.75,16.95,0.06
300242.SZ,佳云科技,32.55,-82.46,-27.06,12.32,-14.71,-10.55,-8.76,,0.0,-4.77,-7.9,27.62,0.01,扣非亏损,扣非亏损,亏损,-0.99
300071.SZ,福石控股,49.25,-70.15,-30.93,35.8,-34.7,-45.84,-4.38,,0.0,-38.02,6.47,85.1,0.01,扣非亏损,扣非亏损,亏损,-0.99
688676.SH,金盘科技,432.11,66.73,69.23,9.16,9.95,10.58,5.79,,0.0,19.05,29.23,53.99,0.01,2.37,13.91,12.61,0.09
300395.SZ,菲利华,582.75,133.69,156.76,13.07,7.04,7.79,5.28,,0.0,60.61,15.14,20.51,0.01,10.35,44.55,34.32,0.04
920932.BJ,科达自控,14.78,603.17,216.07,2.57,0.04,0.32,0.99,,0.0,-98.45,18.76,56.6,0.01,11.52,12207.25,3769.84,0.01
300328.SZ,宜安科技,133.84,29442.31,-694.85,12.29,-1.14,0.03,-0.28,,0.0,39.02,17.83,58.52,0.01,扣非亏损,扣非亏损,1962820.44,-0.99
600436.SH,片仔癀,943.71,33.24,42.57,6.52,13.16,14.31,14.26,0.83,58.58,-30.38,10.44,13.95,0.01,4.08,3.24,2.32,0.32
688059.SH,华锐精密,109.59,63.89,71.18,8.83,9.81,9.9,7.17,0.76,0.0,79.83,17.17,47.98,0.01,4.15,14.51,12.91,0.08
688368.SH,晶丰明源,111.34,357.94,399.81,9.5,1.13,1.96,1.53,,0.0,159.35,-5.67,40.63,0.01,-70.54,707.94,365.25,0.02
002093.SZ,国脉科技,106.09,40.6,101.1,2.76,3.07,5.28,5.54,0.35,26.21,16.68,4.59,17.24,0.01,22.05,32.91,7.69,0.04
688230.SH,芯导科技,80.94,76.25,117.5,3.56,2.12,3.26,3.41,0.59,0.0,14.22,-7.95,2.63,0.01,-14.78,110.6,46.78,0.02
300066.SZ,三川智慧,71.92,38.76,-1745.68,2.84,2.72,5.61,5.8,,0.0,21.89,26.06,15.75,0.01,扣非亏损,危险信号,13.82,0.01
000506.SZ,招金黄金,168.47,153.84,565.74,26.32,8.67,14.05,6.79,,0.0,166.77,-16.55,54.54,0.01,-34.19,130.45,21.9,0.02
300051.SZ,琏升科技,34.08,-28.49,-24.21,21.38,-43.68,-45.78,-7.37,,0.0,-3.66,50.11,77.04,0.01,扣非亏损,扣非亏损,亏损,-0.99
002378.SZ,章源钨业,441.24,174.98,195.32,19.81,8.96,8.68,5.35,,0.0,31.69,11.47,59.1,0.01,17.03,43.59,40.32,0.04
688630.SH,芯碁微装,236.21,89.11,85.48,10.67,9.01,9.2,7.14,0.52,0.0,30.45,24.89,27.82,0.01,3.43,18.97,19.37,0.07
688148.SH,芳源股份,42.96,-26.68,-10.14,14.83,-23.99,-24.01,-1.76,,0.0,13.52,5.42,84.32,0.01,扣非亏损,扣非亏损,亏损,-0.99
688221.SH,前沿生物,71.17,-33.4,-25.46,7.25,-17.45,-15.06,-9.32,,0.0,20.5,52.46,40.06,0.01,扣非亏损,扣非亏损,亏损,-0.99
000609.SZ,ST中迪,30.3,-15.44,-12.0,-365.79,-198.95,,-2.35,,0.0,-34.13,99.23,100.44,0.01,扣非亏损,扣非亏损,,-0.99
300204.SZ,舒泰神,115.64,-297.62,-69.72,13.99,-3.82,-3.41,-2.74,,0.0,-158.27,-16.84,31.98,0.01,扣非亏损,扣非亏损,亏损,-0.99
600316.SH,洪都航空,277.88,1755.14,1172.45,5.18,0.17,0.22,0.11,,0.0,-21.46,-2.39,67.08,0.01,-490.37,13437.8,15955.81,0.01
920077.BJ,吉林碳谷,58.32,62.4,82.26,4.19,5.03,5.18,3.45,,0.0,143.97,16.29,59.73,0.01,5.05,32.69,24.09,0.04
000510.SZ,新金路,102.1,-104.29,-100.24,8.84,-6.4,-6.16,-1.91,,0.0,-111.7,-11.36,46.88,0.01,扣非亏损,扣非亏损,亏损,-0.99
301626.SZ,苏州天脉,128.63,148.77,155.46,17.95,8.95,9.26,8.84,,0.0,2.24,10.22,12.37,0.01,15.2,34.74,32.13,0.04
001309.SZ,德明利,514.88,105.48,108.64,22.21,-2.05,-1.1,0.87,0.17,0.0,-112.55,76.05,73.28,0.01,1.43,-106.11,-191.77,0.01
601011.SH,宝泰隆,72.8,108.42,-22.76,1.26,-1.97,0.87,0.95,,0.0,58.24,-20.39,47.03,0.01,扣非亏损,扣非亏损,249.25,-0.99
300419.SZ,ST浩丰,28.17,-138.05,-116.03,6.53,-3.94,-3.48,-1.83,,0.0,-867.27,2.75,34.95,0.01,扣非亏损,扣非亏损,亏损,-0.99
300476.SZ,胜宏科技,2384.37,56.3,56.41,14.61,26.96,29.06,15.36,0.7,0.0,317.75,14.0,50.44,0.01,4.03,4.19,3.87,0.25
688319.SH,欧林生物,126.93,200.66,246.39,13.23,4.25,5.02,3.53,,0.0,12157.47,7.23,50.21,0.01,34.07,115.96,79.94,0.02
300779.SZ,惠城环保,165.28,561.49,1405.73,15.62,1.43,2.05,1.63,,0.0,-44.33,76.53,74.11,0.01,18.37,1966.06,547.8,0.01
000017.SZ,深中华A,31.47,119.29,125.71,13.15,8.33,8.62,9.32,,0.0,400.48,66.32,17.68,0.01,1.9,30.19,27.68,0.05
603499.SH,翔港科技,73.23,57.53,59.89,8.38,10.97,11.2,8.14,,0.0,212.86,11.53,38.55,0.01,5.19,10.92,10.27,0.1
002256.SZ,兆新股份,77.26,1206.66,-101.84,6.98,-2.01,0.44,1.78,,0.0,1.4,1.04,31.83,0.01,扣非亏损,扣非亏损,5484.8,-0.99
688365.SH,光云科技,85.16,-424.92,-254.33,8.99,-1.7,-1.58,-1.07,,0.0,70.98,-4.23,46.93,0.01,扣非亏损,扣非亏损,亏损,-0.99
300864.SZ,南大环境,34.77,21.98,25.25,2.64,8.31,9.0,6.64,,0.0,-6.66,17.38,27.93,0.01,1.45,6.08,4.88,0.18
300521.SZ,爱司凯,44.83,-169.42,-376.38,8.51,-3.9,-4.02,-3.19,,0.0,-88.59,9.33,16.2,0.01,扣非亏损,扣非亏损,亏损,-0.99
000592.SZ,平潭发展,211.23,511.7,-372.5,11.11,1.48,1.64,0.54,,0.0,29.73,1.62,40.09,0.01,扣非亏损,危险信号,624.02,0.01
002426.SZ,胜利精密,138.15,-141.74,-18.34,5.73,-3.9,-3.0,-0.02,,0.0,29.3,-12.54,63.52,0.01,扣非亏损,扣非亏损,亏损,-0.99
688216.SH,气派科技,31.73,-33.52,-25.54,5.88,-14.3,-12.43,-3.32,,0.0,-17.26,-3.47,68.03,0.01,扣非亏损,扣非亏损,亏损,-0.99
300308.SZ,中际旭创,5992.03,63.33,71.4,22.82,31.12,31.22,25.9,0.07,10.99,90.54,53.03,29.47,0.01,1.35,2.29,2.03,0.45
301339.SZ,通行宝,80.17,36.43,38.86,2.94,6.08,6.1,3.22,1.03,0.0,6.53,15.19,51.12,0.01,2.56,12.79,11.94,0.09
300817.SZ,双飞集团,24.11,68.48,73.06,4.13,4.24,4.36,3.66,0.38,55.1,-9.51,-1.13,18.67,0.01,-64.41,17.24,15.71,0.07
300461.SZ,田中精机,85.2,1479.28,-78.19,17.51,0.34,0.9,0.44,,0.0,105.04,-7.07,33.9,0.01,扣非亏损,危险信号,3287.28,0.01
002969.SZ,嘉美包装,289.13,556.89,200.12,12.62,1.46,1.62,2.08,0.16,96.62,-51.94,-2.13,44.23,0.01,-93.99,137.37,343.76,0.02
