证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
603071.SH,物产环能,82.35,13.65,12.76,1.46,7.76,8.03,6.25,0.76,0.0,-9.03,-8.88,42.12,0.1,-1.44,3.29,3.4,0.4
605155.SH,西大门,33.01,28.83,29.69,2.55,6.24,6.75,7.05,,0.0,-4.66,21.04,6.89,0.1,1.41,9.52,8.54,0.21
001322.SZ,箭牌家居,67.41,191.22,215.71,1.76,0.22,0.67,0.44,,0.0,923.23,-5.08,48.68,0.1,-42.48,1979.86,570.79,0.1
920266.BJ,生物谷,10.49,-23.18,-9.35,1.23,-4.38,-3.91,-2.95,,0.0,-1443.16,-2.45,17.25,0.1,扣非亏损,扣非亏损,亏损,-0.9
300002.SZ,神州泰岳,195.23,21.53,20.59,2.74,9.53,9.9,10.31,,0.0,-16.42,14.56,11.09,0.1,1.41,4.32,4.35,0.33
301320.SZ,豪江智能,12.2,135.27,241.68,3.07,1.15,1.71,1.51,,0.0,-66.44,3.4,30.07,0.1,71.18,418.82,158.21,0.1
002714.SZ,牧原股份,1896.4,14.59,12.5,3.79,20.78,19.26,9.25,1.83,47.32,37.9,23.82,55.5,0.1,0.52,0.6,0.76,1.76
301456.SZ,盘古智能,19.81,60.96,100.69,2.24,2.12,2.8,2.79,,0.0,9.24,13.99,8.96,0.1,7.2,94.97,43.54,0.11
601086.SH,国芳集团,59.54,73.31,96.74,3.74,2.94,3.82,3.05,,0.0,-18.96,-5.15,42.76,0.1,-18.8,65.88,38.38,0.12
000676.SZ,智度股份,102.99,64.79,89.24,2.41,2.32,2.83,2.5,,0.0,50.44,-10.02,13.27,0.1,-8.91,77.06,45.79,0.11
300705.SZ,九典制药,54.3,13.59,16.45,2.79,15.03,14.85,13.1,,0.0,-6.47,22.5,26.58,0.1,0.73,2.19,1.83,0.56
300694.SZ,蠡湖股份,28.09,116.19,90.38,2.03,1.34,1.31,0.96,,0.0,-58.56,3.13,30.99,0.1,28.84,135.05,177.39,0.11
000952.SZ,广济药业,25.94,-20.15,-11.22,2.71,-10.0,-9.54,-2.66,,0.0,40.89,-6.46,62.67,0.1,扣非亏损,扣非亏损,亏损,-0.9
601216.SH,君正集团,540.03,14.47,17.35,1.87,9.42,9.97,7.58,,0.0,25.75,10.72,30.22,0.1,1.62,3.68,2.9,0.37
605299.SH,舒华体育,51.73,57.98,59.54,4.06,2.62,2.74,2.03,1.74,0.0,-3.78,-2.87,38.12,0.1,-20.76,45.39,42.32,0.12
000905.SZ,厦门港务,86.79,42.19,56.34,1.71,3.14,3.89,3.04,0.65,28.92,119.66,-2.0,51.54,0.1,-28.21,17.94,10.84,0.16
301617.SZ,博苑股份,32.78,46.76,48.03,4.89,7.77,7.93,8.07,0.26,26.99,-22.45,36.73,9.93,0.1,1.31,6.18,5.9,0.26
603055.SH,台华新材,90.12,16.2,28.73,1.76,4.74,8.15,5.2,,0.0,-53.74,20.34,54.71,0.1,1.41,12.13,3.97,0.18
688101.SH,三达膜,57.8,14.55,15.58,1.33,6.9,7.1,6.03,2.55,0.0,45.74,6.84,28.59,0.1,2.28,4.51,4.1,0.32
600232.SH,金鹰股份,32.02,285.2,-143.6,3.41,0.76,0.88,1.24,,0.0,-85.27,2.8,47.43,0.1,扣非亏损,危险信号,645.97,0.1
605336.SH,帅丰电器,26.25,668.29,335.76,1.4,-0.34,0.15,-0.62,,0.0,-119.54,-21.24,7.83,0.1,-15.81,-1958.92,8910.6,0.1
605305.SH,中际联合,93.79,16.04,19.96,3.29,15.25,15.91,14.06,0.89,30.08,93.26,15.43,22.34,0.1,1.29,1.31,1.01,0.86
600173.SH,卧龙新能,55.19,54.65,-521.87,1.44,1.39,1.91,2.69,,0.0,-62.76,21.84,44.74,0.1,扣非亏损,危险信号,57.23,0.1
600792.SH,云煤能源,54.72,-22.58,-9.44,1.92,-7.87,-6.2,-1.26,,0.0,27.7,4.0,66.17,0.1,扣非亏损,扣非亏损,亏损,-0.9
002517.SZ,恺英网络,364.03,19.5,22.39,4.03,18.14,20.78,15.16,,0.0,18.65,30.43,22.43,0.1,0.74,2.47,1.88,0.5
920519.BJ,万德股份,8.08,76.81,93.56,2.24,1.52,2.18,2.03,,0.0,-63.79,1.46,10.71,0.1,64.2,122.97,70.47,0.11
002938.SZ,鹏鼎控股,1180.79,36.92,30.81,3.63,6.93,7.47,5.63,,0.0,16.37,2.28,31.42,0.1,13.52,8.89,9.89,0.21
000630.SZ,铜陵有色,774.44,39.48,53.65,2.58,4.98,5.18,6.4,0.83,45.45,-35.29,3.89,52.18,0.1,13.79,10.78,7.62,0.19
301056.SZ,森赫股份,27.02,55.41,64.59,4.99,5.95,6.57,4.03,1.19,0.0,-34.44,7.82,37.35,0.1,8.26,21.71,16.87,0.15
000612.SZ,焦作万方,166.19,15.52,15.37,2.31,13.73,13.68,13.81,2.95,0.0,67.04,10.97,14.03,0.1,1.4,2.24,2.27,0.55
300566.SZ,激智科技,46.61,24.18,34.4,2.55,7.07,8.05,5.43,,0.0,3.3,4.55,43.13,0.1,7.56,9.74,6.01,0.2
300935.SZ,盈建科,19.61,-40.88,-36.88,3.26,-6.59,-5.81,-6.64,,0.0,-16.4,-16.01,5.47,0.1,扣非亏损,扣非亏损,亏损,-0.9
300341.SZ,麦克奥迪,82.1,42.89,47.87,4.28,7.23,7.72,4.99,,0.0,16.31,-0.76,25.14,0.1,-63.15,13.23,11.11,0.17
688266.SH,泽璟制药,208.99,-167.79,-111.59,18.19,-10.04,-7.78,-4.1,,0.0,-15.42,41.52,61.87,0.1,扣非亏损,扣非亏损,亏损,-0.9
002644.SZ,佛慈制药,45.3,89.21,145.95,2.49,1.32,2.0,1.59,,0.0,-5.45,6.84,26.86,0.1,21.35,221.41,89.21,0.1
688458.SH,美芯晟,32.28,307.54,-95.26,2.28,-0.17,0.55,-0.04,,0.0,94.0,3.74,5.98,0.1,扣非亏损,扣非亏损,1118.34,-0.9
002708.SZ,光洋股份,65.67,84.26,121.47,4.22,3.36,3.81,2.12,,0.0,58.93,13.64,54.31,0.1,8.9,72.28,44.23,0.11
301131.SZ,聚赛龙,17.36,48.3,50.99,2.87,4.15,4.45,2.65,0.41,44.23,49.41,9.7,56.36,0.1,5.26,12.28,10.85,0.18
000949.SZ,新乡化纤,124.4,70.05,93.83,1.88,1.44,2.03,1.84,,0.0,-51.42,-5.45,50.42,0.1,-17.23,130.67,69.02,0.11
600789.SH,鲁抗医药,79.62,49.19,46.78,2.34,3.12,3.57,2.5,,0.0,-7.95,8.31,53.44,0.1,5.63,29.99,27.56,0.13
002885.SZ,京泉华,68.58,83.97,158.29,5.47,3.69,5.0,2.51,,0.0,71.55,17.27,56.32,0.1,9.17,85.81,33.59,0.11
688105.SH,诺唯赞,79.98,906.83,-82.68,2.08,-1.11,0.17,-0.26,,0.0,-45.37,11.39,23.28,0.1,扣非亏损,扣非亏损,10668.56,-0.9
603307.SH,扬州金泉,26.75,23.7,27.26,1.95,5.33,6.11,5.62,1.02,41.24,-29.27,6.2,14.96,0.1,4.39,5.11,3.88,0.29
688056.SH,莱伯泰科,25.56,58.89,85.42,3.18,3.4,4.0,3.65,,0.0,-3.65,5.12,11.55,0.1,16.69,50.31,29.45,0.12
002660.SZ,茂硕电源,32.14,-43.27,-84.47,2.78,-5.25,-4.57,-4.37,,0.0,-318.8,-7.17,38.76,0.1,扣非亏损,扣非亏损,亏损,-0.9
600629.SH,华建集团,207.21,100.3,138.48,3.98,1.76,2.98,1.21,,0.0,-59.39,-1.64,62.99,0.1,-84.66,157.65,67.32,0.1
920405.BJ,海希通讯,26.68,53.02,62.76,4.2,6.0,6.02,3.82,0.43,20.33,33.45,33.99,51.93,0.1,1.85,10.45,8.81,0.19
301667.SZ,纳百川,19.07,121.83,96.85,13.76,7.92,8.86,3.43,,0.0,22.93,45.02,63.47,0.1,2.15,24.47,27.5,0.14
003031.SZ,中瓷电子,285.05,63.95,65.81,6.01,6.81,7.15,6.45,,0.0,35.28,11.41,18.35,0.1,5.77,19.31,17.89,0.15
002443.SZ,金洲管道,49.71,39.85,27.24,1.46,2.47,2.7,2.7,,0.0,-8.57,-12.95,21.67,0.1,-2.1,22.08,29.52,0.14
688114.SH,华大智造,222.87,-140.57,-58.46,2.9,-2.92,-1.53,-2.26,,0.0,54.17,-6.67,23.69,0.1,扣非亏损,扣非亏损,亏损,-0.9
301225.SZ,恒勃股份,34.39,94.73,94.05,7.76,5.82,6.28,5.49,,0.0,8.65,10.97,22.92,0.1,8.57,32.33,30.17,0.13
002233.SZ,塔牌集团,113.1,14.44,27.82,0.94,2.59,4.91,5.49,,0.0,26.82,-17.59,8.99,0.1,-1.58,21.44,5.88,0.14
603718.SH,海利生物,31.54,116.88,100.6,2.07,1.06,1.29,2.2,,0.0,471.11,-6.93,5.88,0.1,-14.52,188.98,181.21,0.1
920627.BJ,力王股份,10.84,111.52,80.29,4.85,3.24,3.27,1.89,,0.0,-17.93,15.24,42.28,0.1,5.27,49.6,68.21,0.12
603189.SH,网达软件,51.65,645.7,-3450.15,3.43,0.07,0.4,0.1,,0.0,-77.23,-2.03,6.09,0.1,扣非亏损,危险信号,3228.51,0.1
300775.SZ,三角防务,196.95,40.52,48.85,3.47,5.91,6.36,4.71,,0.0,31.65,17.03,30.02,0.1,2.87,16.53,12.74,0.16
000663.SZ,永安林业,21.93,-91.43,-33.36,2.41,-2.29,-1.96,-1.37,,0.0,53.36,-4.11,29.8,0.1,扣非亏损,扣非亏损,亏损,-0.9
301622.SZ,英思特,41.35,46.71,55.24,4.89,7.02,8.1,5.87,,0.0,-14.43,25.85,36.16,0.1,2.14,15.75,11.53,0.16
002251.SZ,步步高,98.58,40.95,-17.74,1.5,-0.35,2.81,2.12,,0.0,91.06,-29.26,61.07,0.1,扣非亏损,扣非亏损,29.15,-0.9
300033.SZ,同花顺,996.38,53.37,56.06,18.02,15.13,16.1,11.69,1.61,10.75,85.5,6.34,34.49,0.1,8.85,3.71,3.31,0.37
600233.SH,圆通速递,708.47,18.47,18.66,2.12,8.53,8.8,6.96,,0.0,-1.7,15.33,34.48,0.1,1.22,4.38,4.2,0.33
600882.SH,妙可蓝多,105.68,45.05,101.2,2.29,2.65,3.9,3.5,,0.0,92.44,-5.77,45.4,0.1,-17.54,76.34,23.1,0.11
688225.SH,亚信安全,80.96,-15.18,-76.75,4.56,-15.44,-20.24,-4.35,,0.0,-41.64,40.07,49.57,0.1,扣非亏损,扣非亏损,亏损,-0.9
603860.SH,中公高科,21.88,338.13,51.31,2.74,0.56,0.6,0.2,,0.0,15.41,8.75,12.62,0.1,5.86,182.47,1127.11,0.1
002984.SZ,森麒麟,136.31,14.62,14.12,1.46,7.27,7.36,6.33,1.42,46.15,-42.18,18.23,24.92,0.1,0.77,1.94,1.99,0.61
002564.SZ,天沃科技,60.55,78.81,70.93,30.77,40.76,34.4,2.86,,0.0,269.45,-27.62,91.84,0.1,-2.57,3.48,4.58,0.38
300619.SZ,金银河,62.01,470.76,-113.56,4.7,0.56,0.75,1.44,,0.0,149.41,16.33,62.2,0.1,扣非亏损,危险信号,1255.36,0.1
688076.SH,ST诺泰,101.39,17.11,20.69,3.26,15.15,15.41,8.99,,0.0,23.2,39.02,53.15,0.1,0.53,2.73,2.22,0.46
601179.SH,中国西电,904.72,72.3,79.46,4.0,4.14,4.2,2.71,0.52,39.17,18.17,14.98,46.26,0.1,5.31,19.21,17.2,0.15
300717.SZ,华信新材,22.82,42.3,41.52,3.18,5.56,5.7,4.63,0.53,0.0,19.07,-0.38,25.98,0.1,-108.44,14.95,14.84,0.16
002246.SZ,北化股份,132.43,52.72,77.03,4.42,5.56,6.47,4.29,0.14,0.0,277.19,-9.43,35.56,0.1,-8.17,27.69,16.3,0.13
300885.SZ,海昌新材,38.53,100.77,93.64,6.51,4.48,4.88,4.73,,0.0,-7.23,1.46,6.45,0.1,64.15,41.76,41.3,0.12
000062.SZ,深圳华强,273.88,56.94,107.98,3.99,4.85,5.15,4.28,1.62,88.77,38.43,-0.85,53.25,0.1,-126.57,22.28,11.06,0.14
688302.SH,海创药业,40.99,-31.01,-24.1,3.72,-10.46,-8.65,-7.66,,0.0,28.35,,19.24,0.1,扣非亏损,扣非亏损,亏损,-0.9
300982.SZ,苏文电能,51.96,413.62,-317.02,1.91,0.14,0.34,0.47,0.5,58.82,-90.23,4.36,32.45,0.1,扣非亏损,危险信号,1216.54,0.1
300451.SZ,创业慧康,76.03,-47.34,-20.07,1.79,-3.26,-2.8,-2.01,,0.0,-382.12,-8.58,20.27,0.1,扣非亏损,扣非亏损,亏损,-0.9
300592.SZ,华凯易佰,44.8,78.82,499.38,2.25,1.51,2.1,0.92,,0.0,-81.12,66.29,41.69,0.1,7.53,660.47,75.06,0.1
600917.SH,重庆燃气,89.45,47.97,42.75,1.56,2.22,2.45,2.08,0.2,16.18,-50.65,9.25,42.97,0.1,4.62,19.28,19.58,0.15
300706.SZ,阿石创,42.2,-138.56,-72.18,8.11,-4.04,-4.31,-1.05,,0.0,-449.68,25.07,64.85,0.1,扣非亏损,扣非亏损,亏损,-0.9
688596.SH,正帆科技,90.45,95.14,45.13,2.53,0.6,1.97,0.86,,0.0,-93.11,43.89,67.85,0.1,1.03,151.43,96.58,0.1
688667.SH,菱电电控,51.59,51.78,74.53,3.0,3.9,4.48,3.43,,0.0,2456.57,15.17,18.35,0.1,4.91,38.2,23.12,0.12
002460.SZ,赣锋锂业,848.32,4315.19,-99.77,3.53,-2.26,0.06,0.56,,0.0,-163.43,70.29,57.59,0.1,扣非亏损,扣非亏损,143839.55,-0.9
000708.SZ,中信特钢,877.2,15.19,15.88,2.11,10.34,10.29,5.43,1.22,36.36,14.71,3.82,60.28,0.1,4.16,1.54,1.48,0.75
002793.SZ,罗欣药业,52.23,171.13,-10.93,3.6,0.35,1.62,2.36,,0.0,101.73,-22.25,61.65,0.1,扣非亏损,危险信号,211.27,0.08
002472.SZ,双环传动,288.49,27.09,28.53,3.37,9.19,9.77,6.53,0.38,26.47,19.22,17.89,44.92,0.1,1.59,3.1,2.77,0.42
002891.SZ,中宠股份,132.16,29.74,28.28,4.57,12.15,12.38,8.85,0.39,29.24,33.5,15.75,42.05,0.1,1.8,2.33,2.4,0.53
002523.SZ,天桥起重,61.54,54.37,81.56,2.47,2.21,3.49,1.82,,0.0,567.17,1.88,44.47,0.1,43.27,73.88,31.16,0.11
002008.SZ,大族激光,657.27,61.45,110.91,4.17,3.43,5.02,2.85,,0.0,51.46,-3.13,50.71,0.1,-35.46,64.6,24.48,0.11
605167.SH,利柏特,78.0,32.87,36.55,3.95,8.98,9.28,5.37,,0.0,-8.12,27.63,55.91,0.1,1.32,8.14,7.08,0.22
301072.SZ,中捷精工,16.46,-69.97,-59.9,3.44,-3.43,-3.62,-2.8,,0.0,-420.73,6.28,43.29,0.1,扣非亏损,扣非亏损,亏损,-0.9
603508.SH,思维列控,99.89,18.9,16.27,2.6,9.23,8.51,9.37,7.55,262.5,19.89,13.07,7.21,0.1,1.24,1.76,2.22,0.66
300654.SZ,世纪天鸿,39.45,119.15,143.45,4.8,2.38,3.03,3.04,,0.0,-26.26,9.03,26.66,0.1,15.89,120.67,78.64,0.1
600960.SH,渤海汽车,51.8,18.49,-4.58,1.4,-1.49,5.86,4.46,,0.0,73.36,-0.91,41.55,0.1,扣非亏损,扣非亏损,6.31,-0.9
301585.SZ,蓝宇股份,20.56,49.59,52.72,3.25,4.48,4.95,4.68,,0.0,-45.7,20.73,16.68,0.1,2.54,23.53,20.03,0.14
920118.BJ,太湖远大,7.37,41.26,30.0,2.12,3.65,3.61,2.31,,0.0,-53.31,14.67,57.76,0.1,2.04,16.42,22.86,0.16
600010.SH,包钢股份,900.63,419.14,182.03,2.5,0.36,0.45,1.13,,0.0,132.67,-7.33,60.46,0.1,-24.83,1016.63,1862.87,0.1
301380.SZ,挖金客,27.45,96.77,63.78,4.74,3.27,3.67,3.5,,0.0,-24.75,14.69,45.13,0.1,4.34,38.98,52.74,0.12
002026.SZ,山东威达,61.05,19.93,21.44,1.62,5.28,6.16,4.1,0.33,0.0,13.52,-11.9,19.74,0.1,-1.8,8.12,6.47,0.22
603072.SH,天和磁材,50.43,66.09,82.87,4.93,4.77,5.74,3.88,,0.0,-4.46,15.87,32.19,0.1,5.22,34.72,23.03,0.12
603719.SH,良品铺子,42.55,-26.09,-19.54,2.11,-6.86,-5.72,-3.36,,0.0,-4546.37,-8.18,45.46,0.1,扣非亏损,扣非亏损,亏损,-0.9
688287.SH,*ST观典,14.71,-15.31,-13.93,1.92,-7.36,-8.98,-8.9,,0.0,8.54,-19.36,10.77,0.1,扣非亏损,扣非亏损,亏损,-0.9
603956.SH,威派格,34.88,-35.51,-22.73,1.76,-4.54,-3.86,-2.59,,0.0,50.53,1.73,36.2,0.1,扣非亏损,扣非亏损,亏损,-0.9
002905.SZ,金逸影视,34.59,147.19,-29.72,39.23,-23.8,22.34,2.93,,0.0,87.67,-1.16,96.42,0.1,扣非亏损,扣非亏损,13.18,-0.9
002578.SZ,闽发铝业,36.51,-367.89,-169.43,2.62,-0.67,-0.53,-0.3,,0.0,-146.79,1.51,39.4,0.1,扣非亏损,扣非亏损,亏损,-0.9
920641.BJ,格利尔,9.02,68.43,-200.51,4.18,0.3,4.62,3.84,,0.0,359.94,6.15,41.65,0.1,扣非亏损,危险信号,29.62,0.09
300443.SZ,金雷股份,79.8,25.87,31.73,1.67,4.74,4.94,4.87,0.36,16.94,117.02,6.08,9.69,0.1,5.22,6.69,5.24,0.25
301633.SZ,港迪技术,16.84,63.54,50.78,4.02,4.02,4.7,3.58,,0.0,-34.91,12.06,23.35,0.1,4.21,25.27,27.04,0.14
300041.SZ,回天新材,65.94,23.55,56.05,2.34,6.24,7.43,4.72,,0.0,60.37,11.0,53.71,0.1,5.1,17.96,6.34,0.15
002324.SZ,普利特,130.88,43.27,78.99,4.1,7.27,7.29,3.42,,0.0,68.28,21.03,62.68,0.1,3.76,21.74,11.87,0.14
002662.SZ,峰璟股份,60.45,22.26,26.06,1.37,4.55,4.7,4.72,,0.0,-37.66,-3.82,23.58,0.1,-6.83,11.45,9.47,0.18
002470.SZ,金正大,105.8,-269.22,-31.37,5.15,-1.59,-1.44,0.67,,0.0,-48.56,-3.27,81.72,0.1,扣非亏损,扣非亏损,亏损,-0.9
688663.SH,新风光,87.86,79.36,63.93,6.43,5.75,6.03,2.65,,0.0,-29.79,27.16,59.16,0.1,2.35,22.24,26.32,0.14
603798.SH,康普顿,35.83,49.07,71.85,3.1,4.28,4.71,4.74,,0.0,6.44,3.96,12.34,0.1,18.15,33.58,20.84,0.13
301307.SZ,美利信,45.41,-30.64,-25.32,3.07,-7.71,-7.24,-3.32,,0.0,-306.9,18.1,62.19,0.1,扣非亏损,扣非亏损,亏损,-0.9
000850.SZ,华茂股份,50.28,21.98,240.42,1.1,0.54,3.79,3.24,,0.0,-64.29,-1.43,36.64,0.1,-167.92,885.87,11.6,0.1
605081.SH,*ST太和,10.79,-9.82,-2.83,1.21,-8.09,-8.83,-5.56,,0.0,-118.41,-36.6,31.85,0.1,扣非亏损,扣非亏损,亏损,-0.9
000058.SZ,深赛格,83.6,84.4,166.34,5.02,3.9,4.54,3.64,,0.0,92.93,-4.64,50.14,0.1,-35.83,85.26,37.18,0.11
603043.SH,广州酒家,93.96,15.81,20.62,2.39,11.26,11.44,7.81,0.57,0.0,1.73,9.81,44.67,0.1,2.1,3.66,2.76,0.37
603579.SH,荣泰健康,44.57,30.17,43.7,1.62,2.75,5.24,4.15,,0.0,-48.28,-14.88,17.81,0.1,-2.94,31.74,11.51,0.13
600559.SH,老白干酒,135.97,25.63,23.47,2.59,6.86,7.42,5.7,,0.0,-29.99,10.14,40.16,0.1,2.31,6.84,6.91,0.24
301193.SZ,家联科技,36.34,-52.04,-55.9,3.36,-4.8,-3.99,-0.88,,0.0,-446.07,27.45,65.99,0.09,扣非亏损,扣非亏损,亏损,-0.91
301127.SZ,武汉天源,112.99,63.46,42.04,3.59,4.09,4.13,2.62,,0.0,-26.63,40.81,61.79,0.09,1.03,20.58,30.73,0.14
002583.SZ,海能达,142.64,81.5,163.54,7.92,5.86,7.53,1.4,,0.0,-33.53,2.5,74.69,0.09,65.43,55.85,21.65,0.11
688818.SH,电科蓝天,82.06,714.28,355.73,29.71,2.36,3.18,1.49,,0.0,19.68,,50.03,0.09,,301.1,449.23,0.1
002283.SZ,天润工业,92.12,27.99,32.73,1.74,4.35,4.66,3.58,0.8,29.41,3.42,-5.18,26.75,0.09,-6.31,7.52,6.01,0.23
600703.SH,三安光电,905.01,766.08,-185.15,2.56,-0.91,0.24,0.6,,0.0,6.33,8.69,39.21,0.09,扣非亏损,扣非亏损,6384.01,-0.91
688234.SH,天岳先进,356.27,26908.45,-4444.15,5.43,-0.47,0.02,0.24,,0.0,-121.94,75.24,23.89,0.09,扣非亏损,扣非亏损,2690844.57,-0.91
300512.SZ,中亚股份,31.97,66.48,289.62,2.49,1.9,2.82,2.09,0.11,12.5,7.92,-1.07,39.29,0.09,-271.59,152.68,23.57,0.1
000753.SZ,漳州发展,69.11,99.55,179.76,2.52,1.3,1.16,-0.06,0.06,0.0,66.23,3.87,67.89,0.09,46.45,277.31,171.63,0.1
301042.SZ,安联锐视,62.26,325.13,817.98,6.25,1.28,19.62,0.81,,0.0,-80.92,-7.16,10.94,0.09,-114.26,1281.1,33.14,0.1
688261.SH,东微半导,104.28,161.73,568.76,3.55,0.7,1.66,1.33,,0.0,374.48,11.0,6.84,0.09,51.69,1632.01,194.85,0.1
002339.SZ,积成电子,57.12,-59.23,151.93,3.49,-4.59,-4.31,-1.16,,0.0,15.71,8.43,50.38,0.09,18.02,困境反转,亏损,0.13
000700.SZ,模塑科技,113.93,22.78,28.35,2.84,9.22,10.0,6.91,2.27,0.0,-25.12,-0.22,45.7,0.09,-127.11,6.15,4.56,0.26
920906.BJ,舜宇精工,8.67,34.42,-240.95,2.9,2.18,6.49,3.45,,0.0,396.09,0.47,53.75,0.09,扣非亏损,危险信号,10.61,0.09
920037.BJ,广信科技,26.12,40.4,43.84,10.07,22.36,22.91,22.32,0.78,46.52,85.23,35.77,19.09,0.09,1.23,1.96,1.76,0.6
002624.SZ,完美世界,351.84,42.08,-97.96,5.27,6.98,9.61,7.97,,0.0,207.77,-12.29,36.04,0.09,扣非亏损,危险信号,8.76,0.06
002247.SZ,聚力文化,19.56,46.01,60.14,3.89,5.4,6.54,4.7,,0.0,45.85,-9.91,29.6,0.09,-6.07,22.27,14.07,0.14
300709.SZ,精研科技,63.86,39.61,51.95,3.47,6.37,6.75,4.66,,0.0,58.36,-5.13,44.16,0.09,-10.13,16.32,11.74,0.16
603092.SH,德力佳,25.18,35.85,39.3,8.54,19.05,19.68,9.59,,0.0,61.13,34.33,58.77,0.09,1.14,4.13,3.64,0.34
688533.SH,上声电子,53.39,29.67,31.82,3.24,7.72,8.17,3.8,,0.0,-14.33,28.9,50.13,0.09,1.1,8.24,7.26,0.22
603993.SH,洛阳钼业,3450.26,22.2,22.13,5.44,19.42,18.65,14.16,,0.0,69.98,7.18,48.57,0.09,3.08,2.28,2.38,0.53
002535.SZ,林州重机,28.14,31.81,-181.91,4.27,9.78,10.59,3.89,,0.0,-51.94,67.39,82.59,0.09,扣非亏损,危险信号,6.01,0.07
300751.SZ,迈为股份,477.93,78.1,93.2,8.79,7.67,8.54,2.85,0.24,35.46,-13.98,50.18,63.92,0.09,1.86,12.15,9.15,0.18
002526.SZ,山东矿机,67.12,46.2,222.37,2.1,1.12,3.46,2.98,,0.0,-62.18,1.87,38.35,0.09,118.85,398.73,26.71,0.1
605033.SH,美邦股份,31.61,65.5,157.04,2.76,2.61,3.18,1.89,0.25,0.0,-5.57,3.79,39.77,0.09,41.42,120.44,41.19,0.1
605228.SH,神通科技,59.83,39.79,101.0,3.69,6.94,7.18,4.99,0.18,0.0,666.65,1.02,44.1,0.09,99.25,29.1,11.08,0.13
300111.SZ,向日葵,55.35,3178.2,1288.28,8.05,-0.01,0.13,-0.61,,0.0,-104.98,3.79,14.76,0.09,340.31,-189452.54,48895.36,0.09
002817.SZ,黄山胶囊,24.71,38.95,45.27,2.67,5.09,5.25,4.4,0.43,0.0,23.74,7.7,14.1,0.09,5.88,17.78,14.84,0.15
920145.BJ,恒合股份,8.46,-146.04,-164.85,4.71,-2.71,-2.39,-3.79,,0.0,26.32,2.76,6.45,0.09,扣非亏损,扣非亏损,亏损,-0.91
605218.SH,伟时电子,40.57,142.89,134.22,3.5,1.07,1.85,0.46,,0.0,-46.12,19.29,49.26,0.09,6.96,250.25,154.47,0.1
300635.SZ,中达安,16.45,1463.49,-38.88,5.07,0.24,0.26,1.16,,0.0,-57.87,4.89,70.44,0.09,扣非亏损,危险信号,11257.63,0.09
300952.SZ,恒辉安防,40.95,61.7,73.76,3.98,4.97,5.75,3.84,0.2,22.22,-2.52,11.13,37.98,0.09,6.62,14.84,10.73,0.16
300538.SZ,同益股份,19.14,294.51,-30.18,2.99,0.56,0.76,1.52,,0.0,17.22,2.47,58.14,0.09,扣非亏损,危险信号,775.02,0.08
300973.SZ,立高食品,43.01,18.91,20.51,2.55,9.21,9.35,7.06,0.47,0.0,26.63,11.05,39.79,0.09,1.86,4.45,4.05,0.32
688479.SH,友车科技,22.0,187.52,268.13,2.75,0.36,1.09,0.45,,0.0,-82.21,1.46,10.41,0.09,184.11,1480.14,344.08,0.09
600681.SH,百川能源,60.16,23.87,23.11,1.71,3.65,5.17,4.29,2.08,73.35,-11.23,3.35,53.56,0.09,6.9,6.32,4.62,0.25
300413.SZ,芒果超媒,226.61,30.63,34.31,1.79,3.47,4.45,2.26,,0.0,-35.5,-3.28,29.55,0.09,-10.46,19.8,13.77,0.14
002553.SZ,南方精工,63.4,18.28,74.89,6.1,7.69,27.86,25.07,,0.0,13.44,9.87,18.43,0.09,7.59,19.48,1.31,0.14
603237.SH,五芳斋,33.73,14.54,35.17,1.92,9.52,9.91,9.84,,0.0,-17.0,-7.47,26.45,0.09,-4.71,7.39,2.94,0.23
003022.SZ,联泓新科,283.17,91.46,106.08,3.84,3.18,3.16,1.73,,0.0,55.14,-5.61,64.84,0.09,-18.91,66.71,57.89,0.11
600933.SH,爱柯迪,172.02,15.19,17.31,1.94,9.6,10.46,6.36,,0.0,24.74,28.65,42.26,0.09,0.6,3.61,2.9,0.37
600143.SH,金发科技,469.53,33.08,45.62,2.46,5.34,5.57,2.87,,0.0,55.76,15.13,66.32,0.09,3.02,17.08,11.88,0.15
002638.SZ,勤上股份,55.46,-24.74,-23.93,2.86,-2.74,-8.31,-7.41,,0.0,-8.45,-24.33,11.47,0.09,扣非亏损,扣非亏损,亏损,-0.91
300126.SZ,锐奇股份,18.43,-116.68,-62.28,2.55,-2.74,-1.63,-1.35,,0.0,-6.77,-9.34,17.13,0.09,扣非亏损,扣非亏损,亏损,-0.91
002681.SZ,奋达科技,90.73,623.27,-218.93,4.66,0.38,0.53,0.77,,0.0,-93.03,-7.23,50.54,0.09,扣非亏损,危险信号,2351.98,0.09
301603.SZ,乔锋智能,27.24,23.63,27.18,3.75,12.32,12.6,8.94,0.13,0.0,83.12,11.04,36.89,0.09,2.46,4.41,3.75,0.32
301045.SZ,天禄科技,30.92,158.3,195.88,5.2,2.05,2.51,1.59,,0.0,14.19,-8.54,20.65,0.09,-22.94,191.16,126.14,0.1
000878.SZ,云南铜业,449.81,24.53,48.09,3.31,8.82,10.3,5.45,,0.0,-9.31,12.08,65.48,0.09,3.98,10.91,4.76,0.18
