证券代码,股票简称,所属同花顺行业,沪深指数,公司亮点,所属概念,机构持股占流通股比例,最终控制人持股比例,企业性质,最终控制人类型,最终控制人,控制人,三级行业,二级行业,一级行业,主营产品,投资逻辑,index,国家队机构名称,国家队持股比例
603373.SH,安邦护卫,社会服务-其他社会服务-专业服务,中证2000,浙江国资委旗下，业务主要集中在浙江省内，是国内首个全省域覆盖的武装押运企业,"浙江国企改革,职业教育,低空经济,无人机,阿里巴巴,国企改革,安防,地方国企改革",1.48,41.85,省属国资控股,地方国资委,浙江省国资委,浙江省国资委,检测,社会服务,可选消费,武装押运,,,,
603660.SH,苏州科达,计算机-计算机设备-其他计算机设备,中证2000,主要产品或服务为视频会议、视频监控、视频应用解决方案,"物联网,多模态AI,量子科技,智能穿戴,电子车牌,AIGC,时空大数据,物联网感知层,无人机,互联网医疗,智慧城市,机器视觉,车联网(车路协同),增强现实,安防,密码安全管理,数字孪生,虚拟现实,在线教育,ChatGPT,人工智能,云办公,智能交通,智慧政务,信创,人脸识别",1.93,25.81,民营企业,个人,陈冬根,个人,视听技术,计算机,科技,视频会议系统、视频监控系统,业内最专业的视讯与安防研究机构之一,,,
300074.SZ,华平股份,计算机-软件开发-垂直应用软件,,国内领先的视讯产品与应用提供商,"储能,充电桩,家庭医生,DRG/DIP,幼儿教育,智能终端,智能电视,无人机,智慧城市,流媒体,安防,智能家居,在线教育,云办公,低空经济,智能交通,智能医疗,智慧政务,互联网医疗,反恐",16.22,12.03,民营企业,个人,叶顺彭,个人,人工智能,计算机,科技,视频通讯系统,视频通讯行业领先企业,,,
002489.SZ,浙江永强,轻工制造-家居用品-成品家居,中证1000,国内最大的户外休闲家具及用品ODM制造商,"露营经济,电子商务,一带一路,共同富裕示范区,旅游,体育产业,人民币贬值受益,长三角一体化,C2M,跨境电商,独角兽,外贸受益",46.42,53.8,民营企业,个人,"谢建平,谢建勇,谢先兴,谢建强",个人,体育,社会服务,可选消费,休闲家具,国内最大的户外休闲家具及用品ODM制造商,,,
002593.SZ,日上集团,建筑装饰-建筑装饰-专业工程,中证2000,拥有国际一流的工厂和钢构加工设备,"比亚迪,海峡两岸,智能汽车,郭台铭,中俄贸易,华为,一带一路,装配式建筑,新型城镇化,福建自贸区,物联网平台层",0.87,46.05,民营企业,个人,"吴子文,吴丽珠",个人,钢结构,基建,建筑业,汽车钢轮、钢结构,钢制车轮的品质稳定性行业领先,,,
300498.SZ,温氏股份,农林牧渔-养殖业-生猪养殖,沪深300,以肉猪、肉鸡养殖为主的畜禽养殖龙头企业,"猪肉,乡村振兴,家庭农场,预制菜,证金持股,回购增持再贷款,养鸡",16.21,15.78,民营企业,个人,"梁焕珍,刘容娇,陈健兴,伍翠珍,孙芬,古金英,温志芬,温均生,温鹏程,温小琼",个人,猪肉,养殖,必需消费,养猪,全国规模最大的种猪育种和肉猪生产企业,170.0,证金公司,1.28
300417.SZ,南华仪器,机械设备-通用设备-仪器仪表,,专注于环境监测与机动车检测,"专精特新,节能环保,尾气治理,物联网,股权转让(并购重组),碳中和",0.75,18.73,民营企业,个人,"杨耀光,杨伟光",个人,仪器仪表,机械设备,机械,机动车检测用分析仪器,国内机动车排放物及安全检测仪器主要供应商之一,,,
300877.SZ,金春股份,纺织服饰-纺织制造-其他纺织,,曾获得纺织行业“专精特新”中小企业荣誉,,56.53,23.95,民营企业,个人,"杨乐,杨迎春",个人,纺织制造,纺织,可选消费,水刺非织造布,国内领先的非织造布生产商,,,
002311.SZ,海大集团,农林牧渔-农产品加工-水产饲料,沪深300,国内极少能同时生产销售鱼、虾、猪、肉禽、蛋禽饲料的企业,"猪肉,宠物经济,饲料,国家科技大会,同花顺漂亮100,生态农业",75.0,21.76,民营企业,个人,薛华,个人,饲料,养殖,必需消费,水产+畜禽饲料,水产饲料行业全球领先，同时销售禽畜饲料,,,
002258.SZ,利尔化学,基础化工-农化制品-农药,中证1000,国内氯代吡啶类除草剂系列农药龙头企业,"登革热,人民币贬值受益,西部大开发,草甘膦,成渝特区,国企改革,吡啶,蜱虫",43.29,32.2,央企国资控股,中央国有企业,中国工程物理研究院,中国工程物理研究院,农药,化学制品,化工,农药,国内最大的氯代吡啶类除草剂系列产品研发及生产基地,,,
002612.SZ,朗姿股份,纺织服饰-服装家纺-服装,中证1000,高端女装市场的纯女装企业，较早布局国际市场,"网红经济,民营医院,医美,C2M,三胎,中韩自贸区,牙科医疗,化妆护肤品,电子商务,毛发医疗",8.88,54.58,民营企业,个人,"申今花,申东日",个人,服装,纺织,可选消费,品牌女装,公司是我国境内自主高端女装品牌的第一集团,,,
