证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
688428.SH,诺诚健华,-451.19,-125.62,5.81,-2.02,-0.96,-1.47,,0.0,49.32,4.91,29.88,1.16,扣非亏损,扣非亏损,亏损,0.16
600109.SH,国金证券,14.87,14.05,0.97,4.79,4.94,,1.37,0.0,94.1,-1.54,75.95,1.16,-9.1,5.87,6.02,1.33
000550.SZ,江铃汽车,15.4,20.82,1.37,4.14,6.58,3.38,3.07,0.0,-56.95,3.78,65.33,1.15,5.5,10.06,4.68,1.25
301260.SZ,格力博,-64.29,-214.35,1.71,-1.72,-2.02,-1.61,,0.0,-454.03,3.42,57.22,1.15,扣非亏损,扣非亏损,亏损,0.15
301656.SZ,联合动力,58.89,,6.73,10.48,15.01,3.72,,0.0,,77.41,61.94,1.13,,,7.85,1.26
688755.SH,汉邦科技,71.19,,2.89,3.14,3.86,2.25,,25.0,,30.14,34.37,1.12,,,18.44,1.17
601901.SH,方正证券,12.64,13.8,1.27,7.66,7.67,,1.29,21.03,95.91,-3.28,80.39,1.11,-4.21,1.8,1.65,1.66
000789.SZ,万年青,435.43,-109.98,0.67,-0.57,0.11,0.64,2.99,0.0,-30.76,-25.08,37.07,1.1,扣非亏损,扣非亏损,7916.89,0.1
000709.SZ,河钢股份,22.14,57.59,0.47,0.75,1.3,1.78,1.36,0.0,59.39,-6.49,74.84,1.1,-8.87,154.0,34.06,1.1
000042.SZ,中洲控股,66.64,-3.91,1.66,1.03,1.88,1.25,,0.0,107.83,-18.01,91.07,1.09,扣非亏损,危险信号,70.89,0.96
600729.SH,重庆百货,7.94,8.2,1.33,12.41,12.76,5.68,4.66,9.03,5.68,-6.48,58.79,1.08,-1.27,0.66,0.62,2.6
600704.SH,物产中大,7.1,9.72,0.71,5.79,7.38,3.46,4.15,0.0,23.57,2.15,73.11,1.08,4.52,3.36,1.93,1.38
600861.SH,北京人力,7.6,18.04,1.43,6.35,14.68,9.9,3.61,0.0,7.94,0.06,49.91,1.07,327.26,5.68,1.04,1.25
601066.SH,中信建投,19.61,18.49,2.26,6.34,7.99,,0.99,31.73,65.28,-10.83,82.52,1.07,-1.71,2.92,2.45,1.41
601868.SH,中国能建,23.78,15.87,0.91,2.24,2.68,1.43,1.69,0.0,-7.76,10.68,77.83,1.06,1.49,14.19,17.74,1.13
301287.SZ,康力源,39.37,35.1,2.57,3.88,4.89,3.22,1.76,40.91,8.63,-0.15,29.06,1.05,-236.4,9.05,8.05,1.16
000728.SZ,国元证券,13.19,13.17,0.94,5.42,5.37,,1.91,25.0,29.34,9.96,79.68,1.04,1.32,2.43,2.46,1.46
603014.SH,威高血净,36.68,,2.39,5.3,5.44,5.26,,27.17,,7.61,17.55,1.04,,,6.74,1.19
002736.SZ,国信证券,10.35,10.12,1.3,7.43,9.05,,3.12,0.0,88.02,-2.6,77.3,1.04,-3.89,2.72,2.29,1.4
001236.SZ,弘业期货,3551.8,677.51,5.3,0.11,0.11,,0.1,0.0,-85.82,22.78,85.1,1.03,29.74,12855.99,64578.12,1.03
600999.SH,招商证券,12.39,12.12,1.25,6.69,7.18,,2.49,21.25,24.02,-8.72,81.93,1.03,-1.39,1.81,1.73,1.58
600853.SH,龙建股份,12.73,10.19,1.28,6.61,6.71,1.46,1.0,0.0,11.86,6.43,81.38,1.03,1.58,3.08,3.8,1.35
600820.SH,隧道股份,12.79,8.99,0.66,2.67,3.61,1.58,4.45,38.1,-24.26,0.08,75.62,1.02,109.89,3.37,3.54,1.32
600383.SH,金地集团,-2.35,-2.39,0.26,-7.3,-7.9,-1.16,,0.0,-56.05,-6.74,63.57,1.02,扣非亏损,扣非亏损,亏损,0.02
002061.SZ,浙江交科,11.42,12.12,0.69,4.5,4.61,1.45,3.06,0.0,-15.17,1.19,76.03,1.02,10.2,5.38,4.96,1.2
601696.SH,中银证券,32.62,35.17,1.99,4.46,4.64,,0.31,10.2,35.05,-4.55,79.44,1.01,-7.73,7.89,7.03,1.14
001979.SZ,招商蛇口,27.3,33.21,0.92,1.82,2.26,0.95,1.9,0.0,17.11,3.93,67.79,1.0,8.44,36.46,24.16,1.03
601318.SH,中国平安,6.75,8.11,1.21,14.84,13.7,,4.84,24.55,26.87,3.49,89.94,1.0,2.32,0.55,0.49,2.83
002961.SZ,瑞达期货,22.09,22.97,3.8,12.78,12.64,,2.3,35.29,45.29,12.15,84.6,0.99,1.89,1.8,1.75,1.54
301658.SZ,首航新能,82.13,,3.96,5.15,3.8,-0.72,,0.0,,33.51,35.59,0.98,,,43.22,1.0
002761.SZ,浙江建投,55.05,-18657.47,1.67,0.8,1.31,0.17,0.57,0.0,-53.17,-5.19,91.91,0.98,扣非亏损,危险信号,84.05,0.98
002244.SZ,滨江集团,10.64,10.2,1.14,8.36,8.34,2.59,0.95,0.0,60.38,25.73,76.43,0.97,0.4,2.44,2.55,1.38
603418.SH,友升股份,22.65,,2.46,11.29,16.78,8.3,,0.0,,38.37,30.53,0.97,,,2.7,1.34
601919.SH,中远海控,6.05,5.76,0.94,11.55,11.37,6.9,10.0,50.0,-29.15,-1.55,43.46,0.96,-3.71,0.5,0.53,2.97
601992.SH,金隅集团,-10.68,-5.06,0.5,-4.64,-1.97,0.52,2.81,0.0,-51.89,-3.1,66.33,0.96,扣非亏损,扣非亏损,亏损,-0.04
600390.SH,五矿资本,24.96,126.91,0.59,1.9,1.28,0.78,0.59,7.5,-25.66,2.2,65.08,0.96,57.81,66.95,19.5,0.98
301638.SZ,南网数字,319.25,88.01,8.39,1.9,1.97,1.79,,0.0,393.62,9.14,35.06,0.96,9.63,92.7,324.11,0.97
601618.SH,中国中冶,11.82,24.73,0.6,1.97,2.56,0.97,1.7,0.0,-45.74,4.15,78.71,0.96,5.96,25.05,9.24,1.0
600606.SH,绿地控股,-2.52,-1.12,0.39,-9.95,-11.04,-0.17,,0.0,-1584.98,-23.49,89.52,0.95,扣非亏损,扣非亏损,亏损,-0.05
002589.SZ,瑞康医药,305.92,-38.08,0.93,0.12,0.22,0.69,0.37,0.0,184.63,-25.71,64.42,0.94,扣非亏损,危险信号,2781.12,0.94
600266.SH,城建发展,11.09,-10.13,0.58,1.06,3.22,1.57,0.98,0.0,222.16,3.14,76.88,0.94,扣非亏损,危险信号,6.89,0.89
601555.SH,东吴证券,11.9,13.46,1.1,6.96,6.93,,4.0,35.38,59.98,7.75,80.26,0.93,1.74,1.93,1.72,1.44
605158.SH,华达新材,47.22,30.48,1.71,2.03,2.69,0.55,1.18,0.0,-55.71,-6.6,70.59,0.92,-4.62,29.96,35.11,0.95
000750.SZ,国海证券,28.25,26.62,1.18,3.15,3.16,,0.84,20.0,290.84,-4.51,68.74,0.91,-5.9,8.45,8.94,1.03
002091.SZ,江苏国泰,11.16,12.93,0.89,5.53,5.87,4.85,5.46,0.0,3.07,0.08,49.6,0.91,154.38,4.67,3.8,1.12
601456.SH,国联民生,23.57,32.21,1.06,4.88,3.74,,0.41,0.0,348.81,-2.71,72.26,0.91,-11.9,13.2,12.6,0.98
600569.SH,安阳钢铁,85.68,-6.27,2.44,1.0,2.16,1.47,,0.0,101.21,-15.87,89.48,0.89,扣非亏损,危险信号,79.33,0.81
600720.SH,中交设计,16.47,11.55,1.08,4.53,4.94,2.74,2.58,0.0,-22.95,-0.63,48.5,0.88,-18.32,5.1,6.67,1.08
600814.SH,杭州解百,23.43,30.95,1.58,4.85,5.1,4.69,1.65,19.52,-20.09,-6.07,43.86,0.88,-5.1,6.38,4.59,1.04
000928.SZ,中钢国际,12.84,13.25,1.13,6.56,6.47,2.52,4.69,0.0,-5.02,8.61,66.04,0.85,1.54,4.04,3.97,1.09
600675.SH,中华企业,36.09,38.49,1.15,2.21,2.42,3.04,,0.0,158.25,98.42,66.03,0.84,0.39,34.86,29.83,0.87
002939.SZ,长城证券,15.23,16.26,1.24,6.26,6.26,,1.59,22.35,76.44,-10.43,76.4,0.83,-1.56,2.6,2.43,1.22
600858.SH,银座股份,29.43,-584.76,1.27,1.7,3.28,3.12,0.95,7.49,-29.19,-1.45,76.24,0.83,扣非亏损,危险信号,8.98,0.83
600623.SH,华谊集团,37.41,67.54,0.89,1.62,1.59,1.25,2.57,0.0,-24.59,4.15,58.3,0.82,16.27,83.15,47.05,0.83
601789.SH,宁波建工,32.47,31.96,1.74,3.35,3.7,1.2,2.25,0.0,-15.92,-0.29,83.56,0.81,-110.91,19.05,17.55,0.87
001285.SZ,瑞立科密,31.87,,2.73,8.3,13.06,6.54,,0.0,,13.65,25.04,0.81,,,4.88,1.02
600621.SH,华鑫股份,25.86,31.89,1.95,5.61,5.8,,0.63,18.57,61.79,-41.51,84.5,0.81,-0.77,5.68,4.46,0.98
001386.SZ,马可波罗,20.89,,2.76,9.58,10.42,8.48,,0.0,,-7.47,28.32,0.8,,,4.01,1.05
002746.SZ,仙坛股份,21.19,20.25,1.2,3.6,4.16,2.51,3.94,62.93,189.15,19.63,39.24,0.8,1.03,5.63,5.09,0.98
301575.SZ,艾芬达,33.78,,3.16,8.97,9.16,7.11,,0.0,,10.21,28.29,0.8,,,7.38,0.94
600710.SH,苏美达,10.09,12.46,1.8,13.26,14.0,5.82,3.97,0.0,16.43,-11.32,73.86,0.8,-1.1,1.88,1.44,1.33
600909.SH,华安证券,12.48,14.15,1.34,8.14,8.16,,1.65,18.18,64.68,10.23,77.73,0.8,1.38,1.74,1.53,1.38
