股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20230919],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20230919],美股@流通股[20230919],美股@上市板块,market_code,code
PRSO.O,Peraso,0.229,-0.446,半导体产品与设备,,5003899.676,信息技术,半导体产品与设备,半导体产品,20010628,22439012.0,22439012.0,Nasdaq Capital Market,186,PRSO
SNTG.O,叁腾科技,1.780,0.000,消费信贷,"美国中资概念股,中概股指数[US]",4993478.5,金融,金融服务,消费信贷,20210709,2805325.0,2805325.0,Nasdaq Capital Market,186,SNTG
SXTP.O,60 Degrees,0.861,-25.455,制药,次新上市股[US],4993399.635,医疗保健,制药、生物科技和生命科学,制药,20230712,5799535.0,5799535.0,Nasdaq Capital Market,186,SXTP
SQL.O,SeqLL,14.370,-7.885,生命科学工具和服务,,4988689.2,医疗保健,制药、生物科技和生命科学,生命科学工具和服务,20210827,347160.0,347160.0,Nasdaq Capital Market,186,SQL
PIK.O,Kidpik,0.650,4.098,多品类零售,,4958312.41,非日常生活消费品,非必需消费品分销和零售,多品类零售,20211111,7808366.0,7808366.0,Nasdaq Capital Market,186,PIK
MCLD.O,mCloud Technologies,0.294,-1.295,信息技术服务,,4949855.98,信息技术,软件与服务,互联网服务和基础设施,20211124,16229036.0,16229036.0,Nasdaq Capital Market,186,MCLD
ZVSA.O,ZyVersa Therapeutics,0.136,3.030,生物科技,,4949609.568,医疗保健,制药、生物科技和生命科学,生物科技,20220210,36394188.0,36394188.0,Nasdaq Global Market,185,ZVSA
CYAN.O,赛安诺科技,0.770,-3.287,个人护理用品,,4947639.795,日常消费品,家庭与个人用品,个人护理用品,19960217,6467503.0,6467503.0,Nasdaq Capital Market,186,CYAN
KBNT.O,Kubient,0.335,-7.714,软件,,4933557.06,信息技术,软件与服务,应用软件,20200812,14727036.0,14727036.0,Nasdaq Capital Market,186,KBNT
UPC.O,大自然药业,1.400,-2.158,制药,"美国中资概念股,中概股指数[US]",4930000.0,医疗保健,制药、生物科技和生命科学,制药,20210323,3625000.0,3625000.0,Nasdaq Global Market,185,UPC
