证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占比,资产负债率,扣非PEG,扣非市赚率,市赚率
300085.SZ,银之杰,-444.19,-289.8,61.8,-10.16,-9.88,-4.37,,0.0,24.12,-9.73,-8.62,-9.89,0.64,47.64,扣非亏损,扣非亏损,亏损
002627.SZ,三峡旅游,25.83,40.05,1.25,3.35,3.54,3.2,1.87,0.0,33.7,21.24,7.54,-5.61,0.22,21.32,-7.14,23.87,14.59
600233.SH,圆通速递,14.73,14.81,1.88,9.5,9.8,7.89,2.85,0.0,9.63,5.9,11.02,18.56,1.1,31.58,0.8,3.12,3.01
002104.SZ,恒宝股份,44.59,64.88,2.55,3.2,4.26,4.05,1.69,0.0,34.21,13.4,-42.72,7.01,,8.12,9.26,40.54,20.93
002534.SZ,西子洁能,16.21,61.59,2.24,4.16,10.44,3.34,0.8,0.0,19.6,9.43,1650.5,14.83,1.19,69.58,4.15,29.63,3.11
600663.SH,陆家嘴,38.96,42.72,2.23,4.42,4.52,1.7,1.3,0.0,56.74,18.57,1.97,-9.54,1.81,69.74,-4.48,19.35,17.24
603172.SH,万丰股份,77.46,76.22,1.94,1.85,1.89,1.35,0.57,0.0,21.56,5.4,-32.58,-0.59,,25.07,-129.5,82.58,81.97
000546.SZ,金圆股份,30.36,-6.06,1.11,-3.97,2.76,1.18,,0.0,0.64,1.7,-14.52,-28.38,,16.32,扣非亏损,扣非亏损,22.0
300507.SZ,苏奥传感,39.58,64.57,2.84,3.37,5.54,5.76,0.89,0.0,24.26,16.55,25.03,11.39,0.0,26.14,5.67,38.33,14.29
601326.SH,秦港股份,10.89,12.93,1.01,6.75,7.08,6.03,2.91,0.0,38.84,26.9,1.39,3.01,,27.85,4.29,3.83,3.08
300937.SZ,药易购,168.36,191.22,3.69,1.1,1.63,1.0,0.7,0.0,8.61,0.32,-80.09,16.74,1.96,50.1,11.42,347.37,206.58
603987.SH,康德莱,15.89,16.83,1.4,6.62,6.67,5.02,1.68,0.0,31.3,10.76,-8.72,-1.19,7.13,29.49,-14.09,5.09,4.77
002392.SZ,北京利尔,12.31,13.93,0.94,5.42,5.76,3.86,1.67,0.0,15.12,6.41,4.06,9.9,0.13,40.75,1.41,5.14,4.27
430718.BJ,合肥高科,23.38,25.12,2.79,8.93,9.27,6.64,1.55,0.0,11.95,5.96,17.96,18.8,,34.08,1.34,5.62,5.04
002084.SZ,海鸥住工,-340.61,-8.06,1.29,-0.39,-0.28,0.23,0.76,0.0,15.52,-0.2,-213.29,-2.83,,54.19,扣非亏损,扣非亏损,亏损
300051.SZ,琏升科技,-39.32,-32.82,13.32,-28.96,-22.6,-6.21,,0.0,-4.31,-67.39,-307.48,5.82,,73.21,扣非亏损,扣非亏损,亏损
603156.SH,养元饮品,16.43,21.32,2.73,9.24,11.37,10.78,7.53,0.0,46.53,29.06,-9.32,15.26,,18.49,1.4,4.61,2.89
300292.SZ,吴通控股,72.19,136.69,5.61,6.74,6.01,4.07,,0.0,10.68,2.55,44.61,-0.09,,47.48,-1546.87,40.57,24.02
873527.BJ,夜光明,55.56,77.2,2.18,2.82,2.92,1.86,0.76,0.0,17.9,4.0,97.18,4.92,,35.96,15.69,54.7,38.06
300967.SZ,晓鸣股份,-224.54,-25.25,3.96,-2.91,-1.16,1.18,,0.0,9.98,-1.33,69.29,15.54,,55.12,扣非亏损,扣非亏损,亏损
300177.SZ,中海达,-281.97,-20.51,5.86,-3.71,-1.55,-1.17,,0.0,41.81,-5.7,28.66,-11.77,2.88,48.42,扣非亏损,扣非亏损,亏损
300452.SZ,山河药辅,19.42,24.03,3.63,11.81,13.81,9.6,1.76,0.0,32.19,19.16,-5.12,16.49,4.0,37.17,1.46,4.07,2.81
600726.SH,华电能源,31.7,2069.3,4.71,5.77,11.99,8.19,,0.0,22.05,9.63,175.34,-2.85,4.26,78.09,-726.78,717.04,5.29
605177.SH,东亚药业,37.14,33.0,1.17,1.89,2.24,1.52,1.23,0.0,26.98,4.69,-51.43,20.46,,42.57,1.61,34.97,33.16
688489.SH,三未信安,268.53,176.04,2.78,0.17,0.77,-0.18,0.43,0.0,75.64,6.02,-90.0,21.58,6.15,9.07,8.16,2023.48,700.57
300693.SZ,盛弘股份,22.93,21.68,4.99,16.69,17.4,9.32,1.1,0.0,40.17,12.76,0.32,51.98,,50.46,0.42,2.6,2.64
600313.SH,农发种业,107.01,299.64,4.12,0.35,2.93,2.21,,0.0,8.14,2.73,-89.97,23.67,4.63,43.95,12.66,1730.52,73.05
002599.SZ,盛通股份,6642.17,252.51,2.78,-0.38,0.03,0.39,0.3,0.0,15.9,0.07,79.56,6.0,12.73,38.8,42.11,转盈,442811.13
836208.BJ,青矩技术,27.74,21.54,4.03,10.21,10.95,8.83,6.69,0.0,46.38,17.8,0.13,11.99,3.45,28.38,1.8,4.22,5.07
300578.SZ,会畅通讯,162.95,-11.88,4.26,0.47,1.98,1.39,,0.0,33.4,6.64,131.58,-15.76,5.33,8.72,扣非亏损,扣非转亏,164.59
300853.SZ,申昊科技,-17.64,-10.57,3.24,-12.72,-10.78,-6.49,0.74,0.0,16.66,-162.51,-4467.52,-8.21,,46.92,扣非亏损,扣非亏损,亏损
832419.BJ,路斯股份,19.17,20.7,2.85,11.39,11.57,8.98,0.61,0.0,22.95,10.52,21.66,18.24,,21.71,1.13,3.63,3.31
600439.SH,瑞贝卡,362.48,975.9,1.76,0.32,0.36,1.35,0.37,0.0,33.32,1.12,-24.03,-1.49,0.58,46.9,-654.48,6151.27,2013.79
688776.SH,国光电气,128.73,101.75,3.98,2.08,2.34,1.66,0.21,0.0,35.1,9.53,-20.29,22.86,,22.43,4.45,97.72,110.02
603283.SH,赛腾股份,27.66,23.75,6.08,17.99,19.48,10.55,,0.0,44.69,15.22,18.01,30.81,10.61,52.03,0.77,2.64,2.84
300165.SZ,天瑞仪器,-224.89,-18.48,1.49,-0.55,-0.5,-1.02,,0.0,39.07,-0.7,48.26,6.97,5.27,60.58,扣非亏损,扣非亏损,亏损
300440.SZ,运达科技,63.58,70.52,2.1,2.36,2.5,1.91,0.6,0.0,41.97,8.44,37.73,15.23,11.65,31.76,4.63,59.76,50.86
688363.SH,华熙生物,66.14,83.12,4.55,4.68,5.1,5.01,0.57,0.0,73.93,9.27,-24.58,37.33,3.56,18.82,2.23,35.55,25.94
600841.SH,动力新科,-4.81,-2.97,1.9,-27.19,-25.83,-7.4,,0.0,3.25,-24.13,-16.5,-20.26,,71.88,扣非亏损,扣非亏损,亏损
603385.SH,惠达卫浴,20.59,-15.59,0.69,1.22,2.53,1.89,,0.0,27.4,3.46,144.61,4.73,,32.42,扣非亏损,扣非转亏,16.28
603660.SH,苏州科达,-7.75,-10.99,6.04,-41.94,-39.51,-12.85,,0.0,60.93,-47.83,-10.75,-4.48,,68.86,扣非亏损,扣非亏损,亏损
603798.SH,康普顿,29.26,53.67,1.98,4.08,5.09,5.28,0.62,0.0,19.62,7.81,17.79,14.46,2.58,15.81,3.71,26.33,11.5
002805.SZ,丰元股份,-24.51,-11.25,2.19,-6.73,-6.12,-2.62,,0.0,-11.01,-16.48,10.99,100.3,,51.26,扣非亏损,扣非亏损,亏损
601880.SH,辽港股份,31.29,38.24,0.98,1.95,2.36,2.9,1.32,0.0,23.58,13.76,-26.68,-0.23,0.63,26.61,-162.96,39.13,26.52
002416.SZ,爱施德,29.32,37.31,3.42,7.25,8.74,6.39,4.31,0.0,3.71,1.0,-4.85,15.1,0.87,59.16,2.47,10.3,6.71
300955.SZ,嘉亨家化,556.21,141.64,1.71,-0.09,0.23,0.05,1.58,0.0,20.83,0.32,-103.53,2.35,,46.89,60.37,转盈,4836.63
300313.SZ,ST天山,-40.48,-46.37,109.45,-98.29,-100.67,-10.08,,0.0,-2.28,-38.51,-139.13,5.64,,88.41,扣非亏损,扣非亏损,亏损
688146.SH,中船特气,60.52,73.11,3.47,3.38,4.34,3.95,0.56,0.0,30.48,16.93,8.34,12.5,,10.82,5.85,43.31,27.89
600702.SH,舍得酒业,30.4,24.34,3.82,9.13,9.27,7.89,2.22,0.0,67.9,14.96,-47.96,40.86,,36.25,0.6,5.33,6.56
001286.SZ,陕西能源,11.18,13.31,1.52,10.36,10.42,7.87,4.21,0.0,37.92,22.82,12.33,28.79,0.63,53.16,0.46,2.57,2.15
600738.SH,丽尚国潮,26.72,37.28,1.95,5.47,5.5,4.93,0.75,0.0,67.06,18.62,-12.62,13.77,,42.82,2.71,13.62,9.72
688236.SH,春立医疗,71.18,42.57,2.08,1.55,2.14,1.65,1.38,40.26,69.3,12.0,-72.82,9.06,0.48,19.98,4.7,27.46,33.26
300279.SZ,和晶科技,49.25,77.29,3.57,4.72,5.6,4.06,,0.0,17.75,3.35,23.85,6.64,14.99,55.88,11.64,32.78,17.59
300554.SZ,三超新材,-52.38,-68.75,4.34,-6.38,-5.94,-5.4,0.3,0.0,19.81,-17.55,-317.75,26.04,,28.16,扣非亏损,扣非亏损,亏损
603569.SH,长久物流,56.6,57.04,1.61,2.2,2.07,2.01,0.56,0.0,11.48,2.92,-28.3,-2.16,1.55,47.78,-26.41,51.75,54.69
605189.SH,富春染织,14.61,15.74,1.13,5.66,5.63,3.2,0.93,0.0,13.64,4.73,75.98,19.6,,61.97,0.8,5.56,5.19
300349.SZ,金卡智能,15.5,17.4,1.41,5.95,6.88,5.0,4.03,0.0,42.15,13.65,-1.87,17.97,23.45,36.33,0.97,5.85,4.51
603499.SH,翔港科技,168.72,273.61,9.5,4.28,4.69,4.38,0.51,0.0,22.13,7.7,610.57,13.63,2.33,41.63,20.07,127.92,71.95
300865.SZ,大宏立,115.71,-247.74,3.3,1.68,2.16,1.6,0.24,0.0,29.25,6.24,242.4,-1.52,,17.19,扣非亏损,扣非转亏,107.14
600452.SH,涪陵电力,31.38,35.86,3.34,8.02,8.18,7.12,1.1,0.0,20.71,17.44,-6.18,9.46,,25.6,3.79,8.94,7.67
688110.SH,东芯股份,-64.61,-34.85,3.45,-4.52,-3.84,-4.01,,0.0,14.42,-30.54,2.86,-2.68,,5.28,扣非亏损,扣非亏损,亏损
003042.SZ,中农联合,-30.1,-13.29,1.58,-4.16,-3.87,-0.91,,0.0,11.21,-3.67,32.98,3.18,,63.26,扣非亏损,扣非亏损,亏损
603168.SH,莎普爱思,-79.61,-29.68,1.94,-2.95,-1.8,-0.85,0.16,0.0,50.09,-7.9,-190.1,26.81,21.66,20.36,扣非亏损,扣非亏损,亏损
002060.SZ,广东建工,17.26,12.02,1.13,4.94,4.9,1.09,3.16,0.0,10.17,1.65,-33.29,9.92,0.13,89.09,1.21,4.87,7.04
300828.SZ,锐新科技,47.16,47.35,3.05,4.56,4.81,4.87,3.52,0.0,18.55,8.68,-33.15,25.33,,9.53,1.87,20.78,19.61
002198.SZ,嘉应制药,1002.8,610.67,5.19,-0.25,0.38,0.44,0.69,0.0,57.42,1.11,-108.29,0.37,,6.98,1671.7,转盈,5277.89
300681.SZ,英搏尔,93.69,123.51,3.3,1.37,2.74,1.02,0.16,0.0,16.37,3.18,385.94,78.41,,57.74,1.58,180.25,68.39
600325.SH,华发股份,10.56,-608.13,0.89,5.85,5.93,0.65,5.13,0.0,15.81,5.61,-41.78,11.78,,70.15,扣非亏损,扣非转亏,3.56
600600.SH,青岛啤酒,15.2,26.54,3.39,16.37,17.17,12.64,2.68,0.0,41.76,17.72,1.96,6.93,4.26,39.11,3.83,3.24,1.77
300992.SZ,泰福泵业,81.7,73.5,2.9,1.86,2.43,2.34,0.35,0.0,24.47,3.78,-59.67,20.06,,51.27,3.66,79.2,67.24
002096.SZ,易普力,23.29,24.36,2.23,7.15,7.37,6.17,1.98,0.0,23.58,8.85,8.54,22.9,11.34,30.88,1.06,6.81,6.32
300075.SZ,数字政通,463.26,-206.5,3.2,0.47,0.51,0.1,0.28,0.0,36.51,2.99,-89.15,-4.24,10.6,16.82,扣非亏损,扣非转亏,1816.69
300350.SZ,华鹏飞,120.01,-108.63,3.9,-1.87,2.47,2.16,,0.0,15.27,8.83,40.83,-15.24,,17.82,扣非亏损,扣非亏损,97.18
601777.SH,力帆科技,673.96,-229.1,3.44,0.23,0.38,-0.46,,0.0,9.16,-3.43,-47.36,35.05,2.06,43.6,扣非亏损,扣非转亏,3547.18
601089.SH,福元医药,15.08,16.48,2.33,10.98,10.84,8.9,2.9,0.0,67.09,15.86,3.29,9.73,,23.55,1.69,3.0,2.78
600509.SH,天富能源,15.39,22.01,1.32,5.59,6.44,3.22,2.43,0.0,19.3,7.39,13.85,25.44,0.56,69.67,0.87,7.87,4.78
688981.SH,中芯国际,223.46,252.21,5.58,1.53,1.9,0.59,,0.0,17.64,7.72,-3.19,20.02,,33.44,12.6,329.1,235.22
688788.SH,科思科技,-14.48,-15.62,1.64,-8.17,-8.13,-8.94,,0.0,49.3,-109.96,-5.63,-22.58,0.71,6.36,扣非亏损,扣非亏损,亏损
605566.SH,福莱蒽特,51.5,248.54,1.18,1.53,1.71,0.4,0.48,0.0,14.12,3.29,-35.29,-1.82,1.64,22.73,-136.5,325.79,60.23
301307.SZ,美利信,-99.78,-113.91,2.0,-1.74,-1.48,-0.78,0.35,0.0,10.87,-1.84,-149.67,21.31,0.03,51.54,扣非亏损,扣非亏损,亏损
002059.SZ,云南旅游,32.67,-13.14,3.72,-10.63,8.93,3.82,,0.0,3.58,28.64,-43.62,-16.74,,51.97,扣非亏损,扣非亏损,7.32
002575.SZ,群兴玩具,-291.62,-221.25,4.86,-1.93,-1.27,-1.35,,0.0,7.12,-5.52,-328.85,-1.53,0.03,10.93,扣非亏损,扣非亏损,亏损
688580.SH,伟思医疗,30.83,32.42,1.99,4.21,4.8,4.26,2.36,0.0,71.08,26.79,-24.92,10.72,4.3,9.19,3.02,15.41,12.85
002829.SZ,星网宇达,-139.39,-40.59,2.34,-1.48,-1.25,-1.33,,0.0,38.06,-13.74,-127.0,7.9,5.47,29.82,扣非亏损,扣非亏损,亏损
300141.SZ,和顺电气,-3427.1,508.84,3.71,-0.41,-0.08,0.21,0.11,0.0,22.46,-0.31,-248.04,-11.25,,38.21,-45.24,扣非亏损,亏损
600108.SH,亚盛集团,117.46,150.93,1.34,0.4,0.87,1.59,0.2,0.0,18.26,1.69,-41.74,8.55,,54.11,17.65,752.76,270.03
000153.SZ,丰原药业,15.81,26.88,1.56,6.06,7.55,4.58,1.6,0.0,22.55,4.45,-9.64,8.79,0.39,56.65,3.06,8.87,4.19
603086.SH,先达股份,248.66,-16.48,1.02,-0.13,0.31,0.54,,0.0,14.4,0.39,-121.49,12.51,,46.68,扣非亏损,扣非亏损,1604.27
688399.SH,硕世生物,133.22,-20.04,1.52,-0.49,0.8,0.38,,0.0,65.66,10.11,91.98,21.81,,14.78,扣非亏损,扣非亏损,333.06
600865.SH,百大集团,21.15,48.75,1.58,2.7,5.46,7.24,2.82,0.0,89.92,92.26,-17.51,-3.36,,7.77,-14.5,36.08,7.75
601065.SH,江盐集团,12.58,12.28,1.41,8.21,8.31,7.48,3.06,0.0,36.37,18.48,3.18,33.3,0.22,23.1,0.37,2.99,3.03
836826.BJ,盖世食品,44.83,59.26,5.59,8.01,9.31,7.86,1.37,0.0,17.74,8.09,-2.08,32.56,,33.8,1.82,14.79,9.63
600095.SH,湘财股份,116.94,228.75,1.92,1.12,1.22,0.81,0.47,0.0,1.22,34.68,7.59,50.27,9.88,70.76,4.55,408.19,191.09
300026.SZ,红日药业,59.69,143.41,1.52,1.8,1.92,1.98,0.71,0.0,52.2,4.33,-64.12,-1.07,7.73,21.2,-133.7,158.95,62.18
300301.SZ,*ST长方,-29.75,-12.55,105.03,-161.86,-113.95,-2.36,,0.0,26.05,-9.9,37.56,-19.18,,97.94,扣非亏损,扣非亏损,亏损
603181.SH,皇马科技,17.39,17.92,2.21,9.78,10.0,8.97,1.37,0.0,25.07,16.58,36.18,0.08,,19.04,211.26,3.66,3.48
000923.SZ,河钢资源,13.26,12.15,1.06,6.23,6.13,5.12,3.57,0.0,62.48,16.74,-12.99,1.23,,24.0,9.87,3.9,4.33
688338.SH,赛科希德,28.98,29.1,1.98,5.07,5.13,4.48,0.77,0.0,62.13,36.92,-4.62,7.88,,5.25,3.69,11.48,11.3
688613.SH,奥精医疗,386.21,-102.36,1.77,-0.6,0.35,0.37,0.27,0.0,74.46,-0.55,-119.92,8.23,1.96,7.53,扣非亏损,扣非亏损,2206.93
003029.SZ,吉大正元,-58.5,-35.73,4.56,-6.21,-5.81,-3.75,,0.0,56.7,-21.85,11.89,-7.68,,24.38,扣非亏损,扣非亏损,亏损
688579.SH,山大地纬,104.92,66.13,3.24,1.67,2.3,1.68,0.63,0.0,50.32,9.46,-8.59,6.11,,17.4,10.82,79.32,91.23
300087.SZ,荃银高科,-102.62,85.45,6.56,-5.76,-4.54,-1.12,1.19,0.0,16.49,-5.8,-1253.65,37.8,7.98,69.39,2.26,扣非亏损,亏损
601077.SH,渝农商行,4.52,5.7,0.5,7.91,8.37,,7.07,30.0,,49.15,2.63,-0.05,,91.3,-113.86,0.72,0.54
601339.SH,百隆东方,14.69,63.76,0.84,2.62,4.24,3.64,6.16,0.0,11.39,6.79,138.59,5.18,,34.39,12.3,48.69,6.93
002186.SZ,全聚德,34.76,67.94,3.73,7.72,8.39,5.23,,0.0,20.06,6.61,1.38,32.03,0.38,41.59,2.12,17.61,8.29
600510.SH,黑牡丹,50.81,127.83,0.53,0.77,0.77,0.2,2.21,0.0,23.21,3.76,-78.35,-7.51,0.24,62.75,-17.02,330.49,131.98
300771.SZ,智莱科技,64.27,115.01,1.47,-0.05,1.67,0.59,0.92,0.0,29.03,10.82,97.57,-20.44,,16.44,-5.63,转盈,76.97
300014.SZ,亿纬锂能,25.84,35.44,3.0,7.01,8.9,3.89,1.18,0.0,17.38,9.62,16.0,85.42,0.16,60.35,0.41,10.11,5.81
603119.SH,浙江荣泰,37.38,40.48,4.7,9.05,9.71,8.4,0.79,0.0,35.01,20.59,46.34,23.93,,16.87,1.69,8.95,7.7
300427.SZ,红相股份,-57.08,-7.68,3.07,-5.88,-5.44,-0.7,,0.0,40.41,-12.7,-6.37,-2.51,14.15,50.43,扣非亏损,扣非亏损,亏损
688052.SH,纳芯微,-35.9,-37.51,3.21,-7.18,-6.48,-6.06,,0.0,33.21,-29.85,-40.52,109.5,,12.27,扣非亏损,扣非亏损,亏损
301180.SZ,万祥科技,235.6,-592.88,5.03,0.18,1.61,1.51,0.14,0.0,17.75,2.68,-91.04,-5.8,0.12,23.14,扣非亏损,扣非转亏,292.67
301217.SZ,铜冠铜箔,-73.59,-74.93,1.81,-2.12,-1.82,-1.77,0.51,0.0,-0.37,-3.12,-906.49,19.51,,23.68,扣非亏损,扣非亏损,亏损
300980.SZ,祥源新材,87.31,134.28,2.67,1.34,2.07,1.66,1.96,0.0,31.86,6.29,-50.01,9.34,,37.92,14.38,199.83,84.36
688387.SH,信科移动,-103.57,-45.27,3.68,-3.92,-2.63,-1.36,,0.0,23.39,-4.78,15.94,20.23,,52.74,扣非亏损,扣非亏损,亏损
688662.SH,富信科技,75.86,104.87,4.92,4.68,4.93,3.22,,0.0,26.69,8.48,328.79,-12.26,,29.15,-8.56,44.85,30.78
000510.SZ,新金路,-60.41,-22.29,2.02,-2.93,-2.7,-0.43,,0.0,10.22,-2.1,57.13,7.4,,43.86,扣非亏损,扣非亏损,亏损
300439.SZ,美康生物,14.99,21.5,1.55,6.9,7.97,7.05,1.15,0.0,45.8,15.88,7.16,-5.29,,19.16,-4.06,6.23,3.76
832145.BJ,恒合股份,-67.64,-83.84,3.21,-3.57,-3.5,-5.12,,0.0,21.39,-29.29,-3.41,-18.11,,7.57,扣非亏损,扣非亏损,亏损
600853.SH,龙建股份,12.79,10.44,1.32,7.18,7.98,1.56,0.82,0.0,13.22,2.18,31.81,14.25,0.02,82.59,0.73,2.91,3.2
002200.SZ,ST交投,-29.44,-54.33,77.55,-114.04,-141.6,-1.56,,0.0,14.71,-15.32,-37.4,32.89,,90.8,扣非亏损,扣非亏损,亏损
002817.SZ,黄山胶囊,39.94,43.19,2.36,4.24,4.47,3.78,0.97,0.0,25.62,11.86,-24.02,13.24,,13.96,3.26,20.38,17.87
000911.SZ,广农糖业,-82.34,-44.63,43.0,-59.34,-29.2,1.91,,0.0,11.71,-1.43,-41855.18,-0.83,,95.54,扣非亏损,扣非亏损,亏损
688326.SH,经纬恒润,-21.94,-20.39,2.8,-10.27,-9.02,-5.26,,0.0,23.16,-11.49,-179.2,23.73,,52.15,扣非亏损,扣非亏损,亏损
688601.SH,力芯微,47.24,39.19,4.99,7.25,7.88,6.87,1.15,0.0,45.14,16.94,-14.92,19.09,0.63,7.33,2.05,10.81,11.99
600301.SH,华锡有色,16.88,19.36,3.14,14.13,12.9,14.72,,0.0,41.2,25.03,117.8,-0.69,11.42,36.22,-27.87,2.74,2.62
603659.SH,璞泰来,26.57,32.0,2.38,6.28,6.7,3.67,0.67,0.0,29.09,14.7,-26.48,47.15,0.58,54.27,0.68,10.19,7.93
688592.SH,司南导航,-255.84,145.7,2.72,-2.03,-0.78,-0.76,0.48,0.0,54.64,-4.17,-56.43,19.56,,17.45,7.45,扣非亏损,亏损
300775.SZ,三角防务,52.73,41.36,2.83,3.36,3.99,2.36,0.65,0.0,30.28,19.11,-67.4,61.21,,38.27,0.68,24.63,26.43
300374.SZ,中铁装配,-58.95,-35.57,6.26,-8.82,-7.79,-1.06,,0.0,9.0,-5.58,22.89,42.85,,77.67,扣非亏损,扣非亏损,亏损
688261.SH,东微半导,159.96,1234.05,2.26,0.15,1.06,0.47,0.21,0.0,15.53,4.5,-96.37,61.05,,4.9,20.21,16520.1,301.82
301065.SZ,本立科技,33.08,36.63,1.73,3.78,3.92,3.2,0.44,0.0,18.53,9.36,8.58,4.51,,20.4,8.11,19.4,16.88
300280.SZ,紫天科技,228.42,-1.82,2.11,0.73,0.69,0.62,,0.0,3.96,0.7,-95.82,15.9,9.62,63.78,扣非亏损,扣非转亏,662.09
831768.BJ,拾比佰,-112.12,-133.13,1.58,-1.15,-1.05,-0.43,,0.0,6.83,-0.58,81.42,2.82,,49.21,扣非亏损,扣非亏损,亏损
003030.SZ,祖名股份,-118.29,-241.56,1.88,-1.39,-1.16,0.42,0.69,0.0,23.7,-1.9,-144.92,6.59,,52.13,扣非亏损,扣非亏损,亏损
603107.SH,上海汽配,32.91,33.89,2.92,5.78,6.67,6.48,1.29,0.0,20.38,8.61,-6.42,17.13,,24.83,1.98,11.73,9.87
603098.SH,森特股份,61.78,209.21,2.21,2.1,2.7,1.77,0.37,0.0,19.38,3.82,-10.54,5.82,,52.16,35.94,199.15,45.76
603373.SH,安邦护卫,30.23,27.7,1.98,4.69,4.89,7.25,1.16,0.0,24.28,9.57,10.6,6.36,0.26,23.55,4.35,11.81,12.36
300979.SZ,华利集团,20.99,21.32,4.86,17.81,17.98,17.56,2.28,0.0,27.81,16.24,24.45,13.64,0.77,24.78,1.56,2.39,2.34
603786.SH,科博达,31.32,35.75,4.99,11.67,12.45,10.65,0.84,0.0,29.33,14.92,31.25,17.86,,24.52,2.0,6.13,5.03
301229.SZ,纽泰格,41.51,39.69,2.86,4.95,5.01,3.74,0.38,0.0,24.15,6.61,-9.47,22.44,2.95,42.99,1.77,16.04,16.57
688122.SH,西部超导,40.66,50.22,5.02,8.3,9.26,6.24,1.32,0.0,33.98,20.18,4.04,27.11,,44.15,1.85,12.1,8.78
688739.SH,成大生物,27.24,40.37,1.25,3.26,3.44,3.63,2.46,0.0,82.92,25.31,-27.09,-4.01,,4.82,-10.08,24.78,15.83
000509.SZ,华塑控股,-255.84,-126.41,30.99,-9.32,-8.69,-1.26,,0.0,3.44,-2.07,2.7,224.0,11.53,73.63,扣非亏损,扣非亏损,亏损
000031.SZ,大悦城,-18.14,-2.94,1.08,-12.04,-4.35,1.78,,0.0,24.38,1.44,-187.39,-1.11,0.51,76.38,扣非亏损,扣非亏损,亏损
002404.SZ,嘉欣丝绸,17.04,23.62,1.74,6.84,7.53,5.61,4.97,0.0,12.36,4.5,-12.52,19.41,,37.3,1.22,6.9,4.53
605488.SH,福莱新材,29.24,43.71,2.17,4.8,5.35,2.43,1.2,0.0,15.01,3.7,24.77,19.36,,59.26,2.26,18.23,10.93
002587.SZ,奥拓电子,-163.21,-267.4,3.24,-1.67,-1.45,-2.11,0.7,0.0,36.44,-4.55,-829.24,-5.09,0.52,29.02,扣非亏损,扣非亏损,亏损
601699.SH,潞安环能,12.41,13.35,0.99,5.94,5.89,5.4,7.25,0.0,40.71,12.92,-61.05,24.19,,47.15,0.55,4.5,4.21
300566.SZ,激智科技,22.74,32.85,2.63,7.41,8.95,5.22,0.8,0.0,24.23,10.22,122.74,18.24,1.77,47.77,1.8,8.87,5.08
300841.SZ,康华生物,16.38,14.89,2.57,11.84,11.54,11.17,2.58,0.0,94.27,38.28,14.52,15.14,,12.55,0.98,2.52,2.84
301192.SZ,泰祥股份,32.78,45.87,3.22,6.12,7.52,6.3,0.87,0.0,29.41,13.96,74.24,36.69,1.42,28.99,1.25,15.0,8.72
300153.SZ,科泰电源,79.76,99.55,3.1,2.35,2.95,1.18,,0.0,12.88,3.34,56.46,17.48,,54.32,5.7,84.91,54.08
600522.SH,中天科技,18.89,22.36,1.67,6.26,6.73,4.77,1.76,0.0,15.83,6.71,-3.21,2.84,0.02,38.32,7.88,7.14,5.61
301115.SZ,建科股份,100.38,184.26,1.08,0.09,0.8,0.92,1.96,0.0,35.22,3.12,-94.65,14.71,6.56,26.61,12.53,3975.45,250.94
002739.SZ,万达电影,117.92,-87.68,3.25,1.02,2.08,3.06,,0.0,23.98,1.8,-92.53,42.27,52.64,66.75,扣非亏损,扣非转亏,113.38
688314.SH,康拓医疗,23.98,32.58,3.84,10.84,12.49,12.68,0.97,0.0,80.33,31.65,11.63,19.02,0.94,13.14,1.71,6.01,3.84
000833.SZ,粤桂股份,23.18,28.2,1.98,6.66,6.6,5.37,0.92,0.0,27.11,10.91,406.87,1.98,,35.62,14.28,8.46,7.02
300231.SZ,银信科技,84.28,118.67,3.79,3.36,3.12,2.9,1.94,0.0,22.13,4.4,-55.06,-4.63,,43.47,-25.61,70.7,54.02
600259.SH,广晟有色,-29.94,-42.34,3.25,-8.08,-8.44,-3.55,,0.0,0.66,-3.39,-349.73,29.12,,56.36,扣非亏损,扣非亏损,亏损
600775.SH,南京熊猫,-74.82,-30.49,3.08,-3.44,-3.04,-1.14,,0.0,14.57,-3.54,-147.7,-7.85,,34.18,扣非亏损,扣非亏损,亏损
603737.SH,三棵树,46.56,-178.48,9.19,9.56,15.7,3.64,0.34,0.0,28.66,4.44,-42.82,16.2,2.89,79.98,扣非亏损,扣非转亏,5.93
001213.SZ,中铁特货,25.14,33.41,1.01,2.85,3.04,3.37,1.38,0.0,10.06,7.28,-6.25,8.15,,10.94,4.1,23.46,16.54
600018.SH,上港集团,8.81,11.32,1.06,8.31,9.32,7.29,3.51,13.83,37.6,43.82,-2.9,13.58,0.23,31.07,0.83,1.36,0.95
000959.SZ,首钢股份,94.18,-67.97,0.52,0.0,0.41,0.96,0.87,0.0,3.74,0.38,-99.75,17.59,,59.52,扣非亏损,-28921.86,459.43
603800.SH,洪田股份,45.57,33.28,6.56,6.93,10.45,3.86,0.57,0.0,22.27,10.11,16.61,42.38,33.35,71.95,0.79,9.61,8.72
600906.SH,财达证券,50.93,59.1,2.16,3.17,3.17,,1.33,0.0,,21.7,-32.6,9.74,0.15,76.03,6.07,37.32,32.13
605305.SH,中际联合,19.27,21.28,2.45,8.92,9.9,8.85,1.27,0.0,48.86,25.51,108.27,19.45,,23.32,1.09,4.77,3.89
