证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,明星股,高分红,中概股,中概种类,SEC摘牌,SPAC,空壳公司,所属概念,三级行业,二级行业,一级行业,上市板块,异动值
DRD,DRDGOLD,6.85,6.85,7.95,-3.99,6.52,0.04,0.62,,,,,,,,黄金,黄金,金属与采矿,原材料,主板,0.09258326179169339
FUTU,富途控股,77.33,77.33,55.38,-3.99,5.5,0.69,0.88,,,热门中概股,,SEC确定摘牌名单,,,腾讯,金融交易所和数据,综合金融,金融,Nasdaq Global Market,0.7214480676154342
EH,亿航智能,10.75,10.75,17.8,-3.99,13.0,0.45,4.03,,,热门中概股,,SEC确定摘牌名单,,,"飞行汽车,无人机,中概科技",航空货运与物流,运输,工业,Nasdaq Global Market,2.3104719250146006
VFF,Village Farms国际,1.05,1.05,0.95,-4.04,8.08,0.01,0.5,,,,,,,,农产品,农产品,食品饮料,日常消费品,Nasdaq Capital Market,0.0551594404837931
AAPL,苹果,26462.75,26462.75,171.37,-4.09,3.72,183.1,0.69,明星股,高分红,,,,,,"智能穿戴,人工智能,数字音乐,AR股,AI终端,元宇宙,无线充电,芯片,人脸识别,流媒体,特朗普税改,虚拟现实,指纹技术,无人驾驶,科技股,BIT,5G,智能家居,消费电子,科技巨头,巴菲特持股,信息技术",电脑硬件,计算机设备,科技,Nasdaq Global Select Market,60.57409233038218
GSAT,全球星,26.6,26.6,1.4,-4.11,4.11,0.05,0.19,,,,,,,,,无线电信业务,电信业务,科技,主板,0.04314114707252675
NGD,New Gold,11.18,11.18,1.63,-4.12,7.65,0.12,1.08,,,,,,,,黄金,黄金,金属与采矿,原材料,主板,0.3018032117668056
PRFT,The Perficient,20.48,20.48,58.58,-4.14,4.65,0.16,0.76,,,,,,,,,信息科技咨询与其它服务,信息技术服务,科技,Nasdaq Global Select Market,0.17447166351918716
ZTO,中通快递,174.38,174.38,21.67,-4.16,5.71,1.81,1.04,明星股,,中概股,,SEC确定摘牌名单,,,"物流,阿里巴巴",航空货运与物流,运输,工业,主板,1.7326652525575321
BFH,Bread Financial,19.02,19.02,38.49,-4.16,7.87,0.43,2.24,,,,,,,,信息技术,数据处理和外包服务,信息技术服务,科技,主板,0.9839295520791108
DMRC,数字标识,5.6,5.6,27.38,-4.17,6.72,0.05,0.83,,,,,,,,,应用软件,软件,科技,Nasdaq Global Select Market,0.12784856317287516
CRBU,Caribou Biosciences,4.74,4.74,5.25,-4.2,9.49,0.11,2.19,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.47045884614635336
BLMN,Bloomin’ Brands,23.94,23.94,27.49,-4.22,3.83,0.57,2.35,,,,,,,,"酒吧,餐饮连锁",餐馆,酒店餐饮,可选消费,Nasdaq Global Select Market,0.5228502306303123
QUIK,快辑半导体,2.35,2.35,16.34,-4.22,8.91,0.08,3.23,,,,,,,,,半导体产品,半导体,科技,Nasdaq Global Market,0.39124066575510363
GWH,ESS Tech,1.19,1.19,0.68,-4.23,9.86,0.01,0.76,,,,,,,,,电气部件与设备,资本品,工业,主板,0.0693044322987331
TASK,TaskUs,10.63,10.63,11.99,-4.23,5.67,0.04,0.37,,,,,,,,,数据处理和外包服务,信息技术服务,科技,Nasdaq Global Select Market,0.0677139678620795
DIN,Dine Brands Global,6.85,6.85,44.93,-4.24,4.6,0.34,4.9,,,,,,,,"酒吧,餐饮连锁",餐馆,酒店餐饮,可选消费,主板,0.48526448775929437
HOWL,Werewolf Therapeutics,2.5,2.5,5.85,-4.26,8.84,0.01,0.42,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.047451285968953906
WNS,WNS控股,24.55,24.55,52.44,-4.27,5.07,0.16,0.64,,,,,,,,"印度科技,印度",数据处理和外包服务,信息技术服务,科技,主板,0.18886159084507573
ESTA,Establishment Labs,13.29,13.29,48.84,-4.31,7.39,0.23,1.73,,,,,,,,,保健护理服务,医疗保健设备与服务,医疗保健,Nasdaq Capital Market,0.5279273238655208
FEMY,Femasys,0.37,0.37,1.72,-4.44,10.56,0.02,4.31,,,,,,,,,保健护理服务,医疗保健设备与服务,医疗保健,Nasdaq Capital Market,0.20593866090175894
AMRN,阿玛琳,3.53,3.53,0.86,-4.44,6.67,0.01,0.25,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.029104472726007063
BYSI,万春医药,1.16,1.16,2.98,-4.49,9.29,0.01,0.55,,,,,SEC确定摘牌名单,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.06452736111686631
PRVA,Privia Health Group,23.67,23.67,19.96,-4.5,5.89,0.19,0.78,,,,,,,,,保健护理机构,医疗保健设备与服务,医疗保健,Nasdaq Global Select Market,0.2783738219459076
MREO,Mereo BioPharma Group,4.15,4.15,2.96,-4.52,4.84,0.03,0.73,,,,,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.05332912925501796
CVM,CEL-SCI,1.02,1.02,1.89,-4.55,11.11,0.01,1.0,,,,,,,,,生物科技,生物科技,医疗保健,主板,0.08499885465430931
LOT,Lotus Technology,49.36,49.36,7.1,-4.57,10.62,0.01,0.01,,,,,,SPAC（特殊目的收购公司）,空壳公司,,汽车制造商,汽车,可选消费,Nasdaq Global Select Market,0.027728532246700185
AUTL,Autolus Therapeutics,14.52,14.52,6.25,-4.58,5.65,0.04,0.29,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.06218832579316998
