股票代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占净资产比例,资产负债率,扣非PEG,扣非市赚率,市赚率
300470.SZ,中密控股,21.88,22.95,3.1,9.91,10.32,9.97,2.65,58.63,47.61,23.78,13.6,15.56,6.22,19.92,1.48,2.32,2.12
300658.SZ,延江股份,42.98,138.83,1.39,1.99,2.42,2.52,0.52,47.15,18.04,3.44,12.3,9.68,0.38,48.56,14.34,69.91,17.76
300861.SZ,美畅股份,34.19,29.14,1.95,3.75,4.3,4.59,0.45,17.41,24.57,15.39,-81.72,-43.21,0.12,9.81,-0.67,7.78,7.95
301036.SZ,双乐股份,41.95,46.45,3.32,5.62,6.03,5.95,1.35,44.93,16.82,8.31,369.89,10.63,,10.42,4.37,8.26,6.96
301168.SZ,通灵股份,40.62,48.8,1.8,2.84,3.35,2.83,0.36,15.76,17.14,7.19,-54.53,5.36,0.09,36.16,9.11,17.19,12.12
301300.SZ,远翔新材,39.89,47.09,2.21,4.0,4.1,3.24,1.26,95.77,21.11,9.6,20.08,22.95,,18.51,2.05,11.77,9.73
301505.SZ,苏州规划,104.86,39.12,2.37,1.25,1.67,1.14,2.2,23.97,37.08,8.69,-46.73,-12.26,1.1,25.26,-3.19,31.32,62.79
600039.SH,四川路桥,10.76,11.42,1.51,10.38,10.24,3.33,6.9,10.09,15.76,6.8,-39.12,-19.74,,79.55,-0.58,1.1,1.05
600315.SH,上海家化,55.71,88.59,1.56,1.56,2.1,1.84,1.09,8.47,59.41,3.63,-59.74,-12.07,27.97,31.15,-7.34,56.93,26.53
600837.SH,海通证券,-185.43,-37.04,1.01,-0.6,-0.41,,1.07,40.88,,-1.64,-126.12,-42.86,2.04,75.55,扣非亏损,扣非亏损,亏损
600895.SH,张江高科,74.69,72.55,4.05,4.03,4.03,1.96,0.98,30.24,58.55,29.85,-33.28,-3.66,,70.35,-19.85,18.0,18.53
600938.SH,中国海油,8.16,8.73,1.77,16.73,16.43,14.95,5.44,40.36,54.45,35.79,21.07,6.26,2.07,33.24,1.39,0.52,0.5
601238.SH,广汽集团,553.43,-38.17,0.78,-1.63,0.1,-0.27,1.71,20.72,6.13,-0.67,-146.49,-23.88,0.05,45.28,扣非亏损,扣非亏损,5534.33
601318.SH,中国平安,6.77,9.76,1.19,12.39,13.1,,6.03,22.57,,18.06,27.33,9.99,3.45,89.79,0.98,0.79,0.52
603630.SH,拉芳家化,40.59,58.06,1.52,2.6,2.79,2.23,1.5,29.96,47.39,8.12,-27.4,8.65,,11.54,6.71,22.31,14.55
603768.SH,常青股份,39.13,42.3,1.5,2.67,3.47,2.25,,69.29,16.05,2.87,-26.51,5.48,,57.02,7.71,15.85,11.28
603817.SH,海峡环保,13.72,19.69,1.15,5.78,6.21,4.21,0.86,20.22,41.83,18.58,20.38,8.83,,55.93,2.23,3.41,2.21
688317.SH,之江生物,-208.37,-18.11,0.96,-0.51,-0.34,-1.95,,80.3,72.4,-9.46,-177.13,-32.95,0.14,4.14,扣非亏损,扣非亏损,亏损
688318.SH,财富趋势,172.82,139.69,9.56,3.18,4.11,3.93,0.63,20.05,82.04,68.49,-33.09,-15.43,,6.01,-9.05,43.95,42.05
688679.SH,通源环境,141.53,148.28,1.14,0.41,0.61,0.61,0.57,49.85,18.06,0.74,-81.25,0.82,,60.41,179.85,360.08,232.02
872541.BJ,铁大科技,52.91,40.15,4.35,5.34,6.37,4.5,3.24,70.66,47.21,15.46,39.27,0.96,,28.64,41.89,7.52,8.31
000731.SZ,四川美丰,16.58,21.83,1.0,3.82,4.48,4.46,2.3,33.59,17.93,7.15,-43.41,-10.45,,26.37,-2.09,5.71,3.7
002090.SZ,金智科技,72.32,57.87,2.38,2.27,2.48,1.17,0.5,35.47,25.72,3.14,89.29,-8.51,2.1,49.99,-6.8,25.44,29.16
002625.SZ,光启技术,147.05,159.55,11.98,6.02,5.95,4.91,,138.59,53.62,42.31,28.39,3.67,3.66,13.68,43.42,26.48,24.71
002818.SZ,富森美,14.12,14.05,1.81,9.31,9.22,9.09,8.67,88.1,68.14,51.86,-10.01,-6.81,,18.7,-2.06,1.51,1.53
002932.SZ,明德生物,41.13,-21.23,0.75,-0.66,1.35,1.0,0.52,10.27,51.79,27.64,-185.76,-63.95,,10.54,扣非亏损,扣非亏损,30.47
300394.SZ,天孚通信,58.59,61.0,19.71,26.94,27.39,25.2,1.09,42.34,58.21,40.83,126.15,98.55,0.76,16.9,0.62,2.26,2.14
300718.SZ,长盛轴承,25.18,25.8,3.51,10.21,10.67,9.56,2.17,43.29,34.82,20.8,-0.79,1.95,,14.65,13.25,2.53,2.36
300855.SZ,图南股份,30.46,32.3,5.31,13.58,13.53,12.47,0.99,20.67,35.83,23.91,2.94,1.33,,20.85,24.19,2.38,2.25
300941.SZ,创识科技,126.76,65.09,3.79,2.11,2.23,2.14,0.58,21.24,43.43,20.21,-15.5,-2.9,,5.64,-22.44,30.9,56.85
301077.SZ,星华新材,22.05,23.04,2.45,8.26,8.44,5.92,2.79,53.94,32.35,17.91,72.37,14.71,,34.3,1.57,2.79,2.61
301603.SZ,乔锋智能,28.15,,2.69,8.84,10.23,5.99,,84.44,29.9,12.6,,13.72,0.01,37.24,,,2.75
600180.SH,瑞茂通,30.18,24.95,0.64,3.51,1.59,1.19,1.48,10.03,4.08,0.59,5.83,-36.23,,77.33,-0.69,7.1,18.98
600217.SH,中再资环,139.41,190.88,3.37,1.79,2.4,2.48,,31.68,12.94,2.35,10.63,6.04,1.02,57.96,31.61,106.6,58.09
600834.SH,申通地铁,67.66,95.93,2.74,2.52,3.05,3.35,0.63,31.01,25.13,13.54,-29.06,1.21,,29.18,79.28,38.06,22.18
601555.SH,东吴证券,17.88,20.82,1.08,4.56,4.55,,2.57,31.98,,21.77,5.87,4.98,0.79,77.08,4.18,4.57,3.93
603258.SH,电魂网络,55.15,767.73,2.47,2.29,3.29,2.01,0.91,95.18,68.85,18.1,-50.47,-18.35,9.93,16.99,-41.85,335.56,16.76
688646.SH,逸飞激光,42.27,40.82,1.94,2.21,3.35,2.29,0.9,30.2,29.35,11.38,2.84,15.18,1.69,39.7,2.69,18.47,12.62
831305.BJ,海希通讯,48.39,69.48,3.61,4.62,5.65,5.41,0.83,31.1,35.08,14.18,-3.39,94.12,1.92,28.06,0.74,15.04,8.57
001332.SZ,锡装股份,13.48,15.88,1.6,8.82,9.04,6.71,1.52,43.85,31.84,17.73,95.31,49.45,,30.51,0.32,1.8,1.49
002249.SZ,大洋电机,15.58,19.29,1.54,7.25,7.5,4.75,4.23,32.13,23.23,7.88,32.38,4.09,8.61,46.27,4.71,2.66,2.08
002676.SZ,顺威股份,79.58,90.14,3.67,3.55,3.55,2.63,,17.64,17.93,2.21,60.04,21.95,11.79,63.57,4.11,25.37,22.42
002927.SZ,泰永长征,38.19,78.09,2.66,4.87,5.03,3.52,0.86,30.18,29.5,8.33,-36.01,-15.61,2.55,39.12,-5.0,16.03,7.59
300261.SZ,雅本化学,-110.69,-36.25,3.71,-2.89,-2.49,-1.13,,-92.6,16.15,-5.93,-208.45,-14.59,13.97,41.77,扣非亏损,扣非亏损,亏损
