股票代码,股票简称,港股@最新价,港股@最新涨跌幅,港股@所属恒生行业(二级),港股@所属概念,港股@总市值[20240308],港股@流通市值[20240308],港股@所属恒生行业,market_code,code
3818.HK,中国动向,0.365,1.389,纺织及服饰,"体育[HK],体育用品股[HK],品牌服饰[HK],蚂蚁集团概念[HK],阿里巴巴概念[HK]",2148959774.125,2148959774.125,非必需性消费,177,HK3818
2135.HK,瑞丽医美,0.073,1.389,医疗保健设备和服务,医美概念[HK],152499920.0,152499920.0,医疗保健业,177,HK2135
2337.HK,众诚能源,4.420,1.376,公用事业,,1655298840.0,1655298840.0,公用事业,177,HK2337
1818.HK,招金矿业,9.610,1.371,黄金及贵金属,"MSCI概念[HK],国企改革[HK],贸易战概念股[HK]",31428478690.44,25077829287.17,原材料业,177,HK1818
2368.HK,鹰美,4.460,1.364,纺织及服饰,"台资企业[HK],品牌服饰[HK]",2380748000.0,2380748000.0,非必需性消费,177,HK2368
1586.HK,力鸿检验,1.490,1.361,支援服务,土壤修复[HK],807030190.0,807030190.0,非必需性消费,177,HK1586
0675.HK,坚宝国际,0.375,1.351,工业工程,,100126800.0,100126800.0,工业,177,HK0675
2722.HK,重庆机电,0.750,1.351,工业工程,"国企改革[HK],工业4.0[HK]",2763480115.5,825140602.5,工业,177,HK2722
1244.HK,3D Medicines,6.000,1.351,药品及生物科技,"创新药[HK],抗癌概念[HK],生物医药B类[HK]",1549242000.0,1549242000.0,医疗保健业,177,HK1244
0206.HK,华商能源,0.226,1.345,石油及天然气,页岩气[HK],733016064.564,733016064.564,能源业,177,HK0206
1045.HK,亚太卫星,2.260,1.345,电讯,"军工股[HK],卫星导航[HK],红筹股[HK]",2098573850.0,2098573850.0,电讯业,177,HK1045
0981.HK,中芯国际,16.620,1.342,半导体,"新IT概念[HK],新经济[HK],物联网[HK],电子信息[HK],知名公司[HK],紫光系[HK],红筹股[HK],芯片替代[HK],高校[HK]",202342588812.71,99275244844.44,资讯科技业,177,HK0981
1349.HK,复旦张江,2.270,1.339,药品及生物科技,国企改革[HK],6705490613.1218,740020000.0,医疗保健业,177,HK1349
1696.HK,复锐医疗科技,3.800,1.333,医疗保健设备和服务,"医疗器械[HK],医美概念[HK]",1779703749.6,1779703749.6,医疗保健业,177,HK1696
2362.HK,金川国际,0.760,1.333,一般金属及矿石,"涉矿[HK],金属镍[HK]",9501582358.76,9501582358.76,原材料业,177,HK2362
3601.HK,鲁大师,0.760,1.333,软件服务,,204440000.0,204440000.0,资讯科技业,177,HK3601
2263.HK,富石金融,0.152,1.333,其他金融,,152000000.0,152000000.0,金融业,177,HK2263
1100.HK,飞达控股,1.530,1.325,纺织及服饰,体育[HK],656621605.44,656621605.44,非必需性消费,177,HK1100
1610.HK,中粮家佳康,1.530,1.325,农业产品,"猪肉[HK],红筹股[HK]",7010457434.19,7010457434.19,必需性消费,177,HK1610
