股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20240308],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20240308],美股@流通股[20240308],美股@上市板块,market_code,code
BBY.N,百思买,78.590,-1.182,专营零售,"电子商务[US],ESG概念[US]",16925815322.6,非日常生活消费品,非必需消费品分销和零售,电脑与电子产品零售,19850419,215395970.0,215395970.0,主板,169,BBY
MAS.N,马斯可木业,76.870,-0.337,建筑产品,,16895528202.8,工业,资本品,建筑产品,19690505,219764935.0,219764935.0,主板,169,MAS
AKAM.O,阿克迈,111.000,-1.622,信息技术服务,"网络安全[US],元宇宙[US],互联网板块",16819863300.0,信息技术,软件与服务,互联网服务和基础设施,19991029,151530300.0,151530300.0,Nasdaq Global Select Market,185,AKAM
LII.N,雷诺士,471.035,-2.210,家庭耐用消费品,,16752075626.16,非日常生活消费品,耐用消费品与服装,家用电器,19990730,35586684.0,35586684.0,主板,169,LII
NTRS.O,北方信托,81.810,-0.134,资本市场,财产管理[US],16690798480.5,金融,金融服务,资产管理与托管银行,,204019050.0,204019050.0,Nasdaq Global Select Market,185,NTRS
PKG.N,美国包装,186.180,0.676,容器与包装,,16677256063.52,原材料,原材料,纸和塑料包装产品和材料,20000128,89624119.0,89624119.0,主板,169,PKG
L.N,洛斯保险,74.845,-0.346,保险,油气开采[US],16629533242.76,金融,保险,财产与意外伤害保险,19590313,222201139.0,222201139.0,主板,169,L
SUI.N,Sun Communities,133.590,1.105,住宅REIT,,16616491161.48,房地产,房地产投资信托（REITs）,单户住宅REIT,19931208,124412183.0,124412183.0,主板,169,SUI
BGNE.O,百济神州,158.520,-2.299,制药,"SEC确定摘牌名单[US],美国中资概念股",16541429111.463,医疗保健,制药、生物科技和生命科学,制药,20160203,104349161.6923,104349161.6923,Nasdaq Global Select Market,185,BGNE
TPG.O,TPG,45.350,-0.461,资本市场,,16538189203.4,金融,金融服务,资产管理与托管银行,20220113,364678924.0,364678924.0,Nasdaq Global Select Market,185,TPG
EQT.N,EQT能源,37.520,0.698,石油、天然气与消费用燃料,"页岩油[US],油气开采[US]",16524821040.0,能源,能源,石油与天然气的勘探与生产,19500605,440427000.0,440427000.0,主板,169,EQT
AER.N,Aercap飞机租赁,81.480,-0.840,贸易公司与经销商,航空租赁[US],16491043601.92,工业,资本品,贸易公司与经销商,20061121,202493168.0,202493168.0,主板,169,AER
YUMC.N,百胜中国,41.245,0.365,酒店、餐馆与休闲,"明星股[US],餐饮连锁[US],回港中概股[US],SEC确定摘牌名单[US],中概股指数[US],美国中资概念股",16421798208.75,非日常生活消费品,消费者服务,餐馆,20161101,398104199.0,398104199.0,主板,169,YUMC
BAM.N,Brookfield Asset,42.050,-1.059,资本市场,明星股[US],16406124100.02,金融,金融服务,综合性资本市场,20221212,390064767.0,390064767.0,主板,169,BAM
ZTO.N,中通快递,20.140,0.349,航空货运与物流,"物流[US],明星股[US],阿里巴巴概念[US],SEC确定摘牌名单[US],中概股指数[US],美国中资概念股",16371134592.82,工业,运输,航空货运与物流,20161027,812866663.0,812866663.0,主板,169,ZTO
RTO.N,Rentokil Initial,32.405,-0.705,商业服务与商业用品,,16346058454.8,工业,商业和专业服务,综合支持服务,20221012,504507977.0,504507977.0,主板,169,RTO
TER.O,泰瑞达,106.120,-3.519,半导体产品与设备,半导体[US],16244914014.84,信息技术,半导体产品与设备,半导体材料与设备,20181126,153080607.0,153080607.0,Nasdaq Global Select Market,185,TER
BMRN.O,拜玛林制药,85.950,0.070,制药,,16216669710.9,医疗保健,制药、生物科技和生命科学,制药,19990723,188675622.0,188675622.0,Nasdaq Global Select Market,185,BMRN
GDDY.N,Godaddy,113.480,-0.308,信息技术服务,"SaaS概念[US],互联网板块",16167027111.69,信息技术,软件与服务,互联网服务和基础设施,20150401,142478427.0,142478427.0,主板,169,GDDY
H.N,凯悦酒店,156.730,0.032,酒店、餐馆与休闲,酒店[US],16124627755.4,非日常生活消费品,消费者服务,酒店、度假村与豪华游轮,20091105,102901262.0,102901262.0,主板,169,H
NTNX.O,路坦力,65.850,0.920,软件,,16089075581.1,信息技术,软件与服务,应用软件,20160930,244329166.0,244329166.0,Nasdaq Global Select Market,185,NTNX
SIRI.O,Sirius XM Holdings,4.160,-0.479,媒体,巴菲特持股[US],15984641895.04,通讯业务,媒体与娱乐,广播,19940913,3842461994.0,3842461994.0,Nasdaq Global Select Market,185,SIRI
EG.N,Everest Group,367.755,0.054,保险,,15951404392.1,金融,保险,再保险,19951003,43381573.0,43381573.0,主板,169,EG
POOL.O,Pool,415.060,0.220,经销商,ESG概念[US],15928405234.06,非日常生活消费品,非必需消费品分销和零售,经销商,19951013,38376151.0,38376151.0,Nasdaq Global Select Market,185,POOL
MANH.O,曼哈顿联合软件,257.500,-3.206,软件,,15853300362.5,信息技术,软件与服务,应用软件,19980423,61566215.0,61566215.0,Nasdaq Global Select Market,185,MANH
WSO.N,华斯科,401.320,-0.855,贸易公司与经销商,,15841295525.84,工业,资本品,贸易公司与经销商,19840608,39496598.0,39496598.0,主板,169,WSO
CF.N,CF实业,84.340,0.548,化学制品,农业现代化[US],15832843142.22,原材料,原材料,化肥与农用药剂,20050811,187726383.0,187726383.0,主板,169,CF
ESS.N,埃塞克斯信托,245.440,1.212,住宅REIT,现代服务业[US],15758106303.68,房地产,房地产投资信托（REITs）,多户住宅REIT,19940610,64203497.0,64203497.0,主板,169,ESS
BEKE.N,贝壳,12.600,0.159,房地产管理和开发,"腾讯概念[US],美国中资概念股,SEC确定摘牌名单[US],明星股[US],房地产服务[US],美股概念板块,热门中概股[US]",15757240104.19,房地产,房地产管理和开发,房地产经营公司,20200813,1249582879.0,1249582879.0,主板,169,BEKE
MAA.N,MAA房产信托,134.920,1.673,住宅REIT,,15746106048.03,房地产,房地产投资信托（REITs）,多户住宅REIT,19940128,116715633.0,116715633.0,主板,169,MAA
CFG.N,Citizens,34.315,1.269,商业银行,,15744530733.36,金融,银行,区域性银行,20140924,458756723.0,458756723.0,主板,169,CFG
SUZ.N,Suzano,11.890,-0.668,纸类与林业产品,,15743758442.35,原材料,原材料,纸制品,20181211,1324117615.0,1324117615.0,主板,169,SUZ
MGA.N,曼格纳国际,54.510,-0.420,汽车零部件,特斯拉概念[US],15634217492.0,非日常生活消费品,汽车与汽车零部件,汽车零件与设备,19840824,286866376.0,286866376.0,主板,169,MGA
NWS.O,新闻集团B,27.350,0.515,媒体,,15620108451.65,通讯业务,媒体与娱乐,出版,20130701,571119139.0,571119139.0,Nasdaq Global Select Market,185,NWS
GGG.N,固瑞克,92.610,-0.952,机械制造,,15576707581.82,工业,资本品,工业机械和用品及零部件,19860919,168178661.0,168178661.0,主板,169,GGG
SNA.N,实耐宝,295.340,0.214,机械制造,现代服务业[US],15563146140.08,工业,资本品,工业机械和用品及零部件,19780227,52713542.0,52713542.0,主板,169,SNA
TRU.N,TransUnion,80.170,1.174,专业服务,,15545220000.0,工业,商业和专业服务,调查和咨询服务,20150625,194000000.0,194000000.0,主板,169,TRU
SAIA.O,Saia,583.670,-2.942,地面运输,,15518131762.89,工业,运输,地面货运,20021001,26587167.0,26587167.0,Nasdaq Global Select Market,185,SAIA
TRMB.O,天宝导航,63.090,0.944,电子设备、仪器和元件,ESG概念[US],15500404249.29,信息技术,技术硬件与设备,电子设备和仪器,19900720,245687181.0,245687181.0,Nasdaq Global Select Market,185,TRMB
DPZ.N,达美乐比萨,445.170,-0.528,酒店、餐馆与休闲,餐饮连锁[US],15492009862.23,非日常生活消费品,消费者服务,餐馆,20040713,34812723.0,34812723.0,主板,169,DPZ
WSO.B.N,华斯科B,,0.000,贸易公司与经销商,,15437245328.3,工业,资本品,贸易公司与经销商,20130201,39496598.0,39496598.0,主板,169,WSO.B
AEG.N,荷兰全球保险,5.800,-1.193,保险,金融板块,15402632592.2,金融,保险,人寿与健康保险,19850705,2655626309.0,2655626309.0,主板,169,AEG
SSNC.O,SS&C技术控股,61.990,-0.816,专业服务,互联网板块,15319055957.94,工业,商业和专业服务,数据处理和外包服务,20100331,247121406.0,247121406.0,Nasdaq Global Select Market,185,SSNC
EME.N,EMCOR Group,325.190,-0.255,建筑与工程,,15296571599.26,工业,资本品,建筑与工程,19951229,47064926.0,47064926.0,主板,169,EME
TEVA.N,梯瓦制药,13.620,-0.657,制药,"大麻概念股[US],巴菲特持股[US],医疗保健板块",15269300429.82,医疗保健,制药、生物科技和生命科学,制药,20120530,1121094011.0,1121094011.0,主板,169,TEVA
CRBG.N,Corebridge Financial,24.490,0.782,保险,,15246245532.62,金融,保险,人寿与健康保险,20220915,622549838.0,622549838.0,主板,169,CRBG
NDSN.O,Nordson,264.760,-0.984,机械制造,,15142218786.2,工业,资本品,工业机械和用品及零部件,19791214,57192245.0,57192245.0,Nasdaq Global Select Market,185,NDSN
RPM.N,RPM International,117.379,-1.029,化学制品,,15124437401.76,原材料,原材料,特种化学制品,19980609,128872166.0,128872166.0,主板,169,RPM
NICE.O,NICE,239.030,0.025,软件,,15123710394.43,信息技术,软件与服务,应用软件,19960126,63271181.0,63271181.0,Nasdaq Global Select Market,185,NICE
WSM.N,威廉索诺玛,234.790,-5.087,专营零售,,15067547513.1,非日常生活消费品,非必需消费品分销和零售,家庭装饰零售,19980601,64144519.0,64144519.0,主板,169,WSM
NWSA.O,新闻集团,26.340,0.765,媒体,"在线教育[US],文化传媒[US]",15043278121.26,通讯业务,媒体与娱乐,出版,20130619,571119139.0,571119139.0,Nasdaq Global Select Market,185,NWSA
CNHI.N,凯斯纽,11.850,0.339,机械制造,,14886641515.8,工业,资本品,农用农业机械,20130930,1256256668.0,1256256668.0,主板,169,CNHI
HOOD.O,Robinhood Markets,17.000,3.912,资本市场,WSB概念[US],14867306973.0,金融,金融服务,金融交易所和数据,20210729,874547469.0,874547469.0,Nasdaq Global Select Market,185,HOOD
