证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,市盈率,市净率,EPS,ROE,每股净资产,股息率,资产负债率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
839725.BJ,惠丰钻石,5.41,11.86,12.86,5.32,9.17,0.21,3.9,137.48,1.85,-,0.34,6.965666326,-,25.7990819264,机械设备-通用设备-磨具磨料,金刚石,金属制品,机械,人造金刚石,金刚石微粉头部公司，工信部专精特新“小巨人”企业,金刚石微粉头部公司，工信部专精特新“小巨人”企业,,"专精特新,培育钻石,第三代半导体",0.8248891158058793
300497.SZ,富祥药业,42.49,52.25,9.5,5.32,9.09,1.25,2.95,-48.0,2.02,-0.14842938,-3.09,4.713526525,-,47.4251162475,医药生物-化学制药-原料药,原料药,生物,生物医药,舒巴坦、他唑巴坦,业内舒巴坦、他唑巴坦的主要供应商之一,β-内酰胺类酶抑制剂和碳青霉烯类产品的重要供应商,中证1000,"生物医药,瑞德西韦,锂电池,肝炎,猴痘,光刻胶,人民币贬值受益,CRO,人造肉,有机硅,抗艾滋病,辉瑞",2.90604229668301
603093.SH,南华期货,65.34,65.34,10.71,5.31,5.11,0.89,1.39,19.08,1.72,0.140351658,2.28,6.23527416,0.52,89.4695438041,非银金融-保险及其他-多元金融,期货,非银金融,金融,风险管理业务,全球化金融衍生品服务平台，国内最大规模期货公司之一,全球化金融衍生品服务平台，国内最大规模的期货公司之一,中证1000,"期货,年报预增",0.914609906833864
300139.SZ,晓程科技,30.63,35.92,13.11,5.3,6.59,9.98,32.98,87.64,3.73,0.037396237,1.07,3.517930549,-,11.6681951258,有色金属-贵金属-贵金属Ⅲ,黄金,贵金属,金融,黄金,公司在非洲拥有三座金矿,致力于电力线载波芯片等系列集成电路产品的设计、开发和市场应用,中证2000,"绿色电力,电力物联网,芯片制造,人民币贬值受益,黄金,集成电路,一带一路,民爆,芯片,智能电网,光伏",16.105490774932886
300205.SZ,ST天喻,26.2,26.53,6.17,5.29,9.22,0.71,2.71,54.55,1.77,0.084832341,2.43,3.494980368,0.73,49.4615899883,通信-通信设备-通信终端及配件,智能卡,通信,科技,智能卡产品,中国智能卡行业龙头企业之一,主要研制面向金融和通信行业的金融终端、金融IC卡、SIM卡,,"5G,华为,金融IC,指纹技术,数字中国,人工智能,电子信息,换芯,银联,NFC,国产软件,移动支付,网络安全,数字货币,互联网金融,金融信息服务,区块链,ETC,华为鲲鹏,物联网,专精特新,指纹支付,物联网传输层,TMT",1.8656536527195193
300671.SZ,富满微,49.24,49.4,22.69,5.29,7.05,0.96,1.96,-43.78,2.74,-0.129570234,-1.56,8.270440666,-,35.443519362,电子-半导体及元件-集成电路设计,电源管理,半导体,科技,电源管理芯片,LED控制及驱动芯片领域国内优秀企业,高性能模拟及数模混合集成电路设计企业,中证1000,"5G,国产替代,WiFi 6,无线耳机,MCU芯片,新型烟草,台湾,芯片设计,先进封装,芯片,氮化镓,MiniLED,汽车芯片,手机芯片,集成电路,专精特新,毫米波雷达,第三代半导体",1.538559350454938
603006.SH,联明股份,23.96,31.88,12.54,5.29,14.44,3.39,14.57,57.78,2.18,0.054258841,0.95,5.745161009,3.03,21.5556559741,交运设备-汽车零部件-汽车零部件Ⅲ,汽车物流,汽车相关,汽车,地板加强件、横梁,国内最早从事循环物流器具供应链管理业务的企业,国内最早从事循环物流器具供应链管理业务的企业，通用一级供应商,,"特斯拉,汽车制造,冷链物流",16.38757916303393
002121.SZ,科陆电子,58.52,69.42,4.18,5.29,7.3,1.75,2.95,246.36,7.1,0.004241805,0.73,0.588648045,-,86.9878187841,电力设备-电力设备-电气自控设备,电控设备,电气设备,电力设备,电力测量仪器仪表及检查装置,国内用电采集系统领域龙头企业,国内用电采集系统领域龙头企业,,"能源互联网,电力物联网,锂电池,新能源汽车,充电桩,新基建,锂电制造,边缘计算,磷酸铁锂,虚拟电厂,储能,一带一路,电力改革,智能电网",2.8425003851839605
300496.SZ,中科创达,170.86,214.27,46.58,5.27,5.9,8.94,5.33,59.02,2.25,0.197298823,0.95,20.668544238,0.53,14.8990255922,计算机-计算机应用-IT服务,云计算,计算机,科技,应用软件开发,全球领先的智能操作系统产品和技术提供商,全球领先的智能操作系统产品和技术提供商,沪深300,"智能交通,多模态AI,增强现实,抖音,ChatGPT,智能汽车,华为,智能穿戴,智能物流,台湾,长安汽车,人工智能,国产操作系统,鸿蒙,物联网感知层,华为汽车,边缘计算,AIGC,华为海思,智能电视,MSCI,车联网,智能家居,MR（混合现实）,机器视觉,虚拟数字人,智能医疗,5G,无人机,英伟达,图像识别,小米,寒武纪,无人驾驶,独角兽,数字经济,元宇宙,AI PC,华为欧拉,智能座舱,区块链,滴滴,虚拟现实,物联网,百度,机器人,MLOps",8.98283453171364
601162.SH,天风证券,259.97,259.97,3.0,5.26,4.91,9.05,3.55,45.96,1.09,0.048959588,1.81,2.742929055,-,74.8724724431,非银金融-证券-证券Ⅲ,证券,非银金融,金融,A级券商,在研究业务具有竞争力的证券服务商,高度重视研究所建设，在研究业务具有竞争力的证券服务商,中证500,"国企改革,地方国企改革,期货,湖北国企改革,MSCI",7.2636807792150915
002309.SZ,*ST中利,13.88,13.95,1.6,5.26,0.0,0.01,0.05,-0.93,-2.5,-1.716627023,0.0,-0.640412416,-,107.318579952,电力设备-电力设备-线缆部件及其他,风光发电,电力,公共事业,新能源光伏组件,光伏电站转让量位居国内民营企业之首,光伏新能源电站建设领域的先行者,,"5G,光伏建筑一体化,钙钛矿电池,光纤,华为,锂电池,新能源汽车,太阳能,比亚迪,光伏,碳中和,风电,磷酸铁锂,分布式发电,光纤光缆,储能,一带一路,智能电网",0.014239663553995474
