isin,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice,market.originalValue,market.translations.de,market.translations.en,segment.originalValue,segment.translations.others,industrySector.originalValue,industrySector.translations.others,instrumentType.originalValue,instrumentType.translations.de,instrumentType.translations.en,securityType.originalValue,securityType.translations.de,securityType.translations.en,originCountry.originalValue,originCountry.translations.de,originCountry.translations.en,sector.originalValue,subsector.originalValue,subsector.translations.others,industrySector.translations.de,industrySector.translations.en,subsector.translations.de,subsector.translations.en,segment,sector,subsector,originCountry.translations.others
DE000SHL1006,siemens-healthineers-ag,SIEMENS HEALTH.AG NA O.N.,Siemens Healthineers AG,,51.34,0.3910833007,28265952.62,57911520000.0,2023-07-20T17:35:21+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Pharma & Healthcare,Medical Technology,,Holdinggesellschaften,Holding companies,Medizintechnik,Medical Technology,,,,
DE0007165631,sartorius-ag-vz,SARTORIUS AG VZO O.N.,Sartorius AG Vz,,324.9,1.7538365173,28119283.2,24328512000.0,2023-07-20T17:35:28+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,61,,1003,Vorzugsaktien,Preffered shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Pharma & Healthcare,Biotechnology,,Elektronik und Elektrik,Electronic engineering,Biotechnologie,Biotechnology,,,,
DE0007030009,rheinmetall-ag,RHEINMETALL AG,Rheinmetall AG,,257.4,0.19462826,27796983.8,11212344000.0,2023-07-20T17:42:31+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,91,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Industrial,"Industrial, Diversified",,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,"Industrielle Produkte, diversifiziert","Industrial, Diversified",,,,
DE0008232125,deutsche-lufthansa-ag,LUFTHANSA AG VNA O.N.,Deutsche Lufthansa AG,,8.836,0.45475216,27045311.07,10563349640.0,2023-07-20T17:35:10+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,170,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Transportation & Logistics,Airlines,,Verkehr,Traffic,Fluggesellschaften,Airlines,,,,
DE000PAH0038,porsche-automobil-holding-se,PORSCHE AUTOM.HLDG VZO,Porsche Automobil Holding SE,,54.04,0.0,27023247.76,16549750000.0,2023-07-20T17:35:23+02:00,REGULATED,Regulierter Markt,Regulated Market,STANDARD,General Standard,180,,1003,Vorzugsaktien,Preffered shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Automobile,Automobile Manufacturers,,Holdinggesellschaften,Holding companies,Automobilhersteller,Automobile Manufacturers,,,,
DE000SYM9999,symrise-ag,SYMRISE AG INH. O.N.,Symrise AG,,97.48,0.4948453608,26256702.1,13624779600.0,2023-07-20T17:35:10+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Chemicals,"Chemicals, Specialty",,Holdinggesellschaften,Holding companies,Spezialchemikalien,"Chemicals, Specialty",,,,
DE0006047004,heidelbergcement-ag,HEIDELBERG MATERIALS O.N.,Heidelberg Materials AG ,Heidelberg Materials AG ,72.8,0.9708737864,26171804.52,14056952000.0,2023-07-20T17:35:00+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,130,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Construction,Building Materials,,Bau und Baustoffe,Construction/ construction materials,Baumaterialien,Building Materials,,,,
DE0005200000,beiersdorf-aktiengesellschaft,BEIERSDORF AG O.N.,Beiersdorf Aktiengesellschaft,,114.3,-0.3921568628,25582334.6,28803600000.0,2023-07-20T17:35:14+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,51,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Consumer,Personal Products,,Chemie und Pharmazeutik,Chemistry/pharmacy,Körperpflege Produkte,Personal Products,,,,
DE000A2E4K43,delivery-hero-se,DELIVERY HERO SE NA O.N.,Delivery Hero SE,,40.445,-5.2144363722,24590874.07,10899523050.0,2023-07-20T17:35:14+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,180,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Retail,"Retail, Internet",,Holdinggesellschaften,Holding companies,"Einzelhandel, Internet","Retail, Internet",,,,
DE0005785802,fresenius-medical-care-ag-co-kgaa-st,FRESEN.MED.CARE KGAA O.N.,Fresenius Medical Care AG & Co. KGaA St,,49.33,1.3560715019,22670473.54,14473915300.0,2023-07-20T17:35:15+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,51,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Pharma & Healthcare,Health Care,,Chemie und Pharmazeutik,Chemistry/pharmacy,Gesundheitswesen,Health Care,,,,
DE0006969603,puma-se,PUMA SE,PUMA SE,,57.56,-2.1088435375,21995205.98,8681199200.0,2023-07-20T17:35:19+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,150,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Consumer,Clothing & Footwear,,"Verbrauchsgüter, Nahrungsmittel, Brauereien, Papier",Consumer goods/food/breweries/paper,Bekleidung & Schuhware,Clothing & Footwear,,,,
