股票代码,股票简称,流通市值,总市值,最新价,涨跌幅
000616.SZ,*ST海投,12.4,12.4,0.87,4.82
002332.SZ,仙琚制药,147.2,149.2,15.08,4.79
300510.SZ,金冠股份,64.7,65.2,7.87,4.79
300192.SZ,科德教育,32.6,49.7,15.1,4.79
603717.SH,天域生态,20.4,20.4,7.02,4.78
600589.SH,*ST榕泰,12.4,12.4,1.76,4.76
603179.SH,新泉股份,206.2,206.2,42.31,4.75
000711.SZ,*ST京蓝,15.2,15.9,1.55,4.73
600804.SH,ST鹏博士,71.2,84.7,5.11,4.71
002087.SZ,*ST新纺,14.5,14.5,1.78,4.71
300630.SZ,普利制药,66.8,90.5,20.74,4.69
000423.SZ,东阿阿胶,343.0,343.0,52.45,4.69
600511.SH,国药股份,213.1,290.6,38.52,4.67
000525.SZ,ST红太阳,55.9,55.9,9.63,4.67
300912.SZ,凯龙高科,13.5,25.1,21.85,4.65
688072.SH,拓荆科技,300.5,553.3,437.47,4.61
600054.SH,黄山旅游,70.0,99.4,13.63,4.6
300897.SZ,山科智能,10.0,22.9,33.72,4.59
301299.SZ,卓创资讯,8.1,32.4,54.02,4.59
600297.SH,广汇汽车,184.9,184.9,2.28,4.59
600422.SH,昆药集团,185.9,186.2,24.56,4.56
002519.SZ,银河电子,71.9,72.5,6.44,4.55
300533.SZ,冰川网络,77.7,111.5,48.71,4.53
603466.SH,风语筑,94.8,94.8,15.94,4.52
002679.SZ,福建金森,30.0,30.0,12.72,4.52
301368.SZ,丰立智能,18.1,76.1,63.4,4.52
002309.SZ,ST中利,27.8,34.3,3.94,4.51
603125.SH,常青科技,15.3,62.3,32.34,4.49
603511.SH,爱慕股份,9.5,69.8,17.46,4.49
872808.BJ,曙光数创,49.6,144.4,72.2,4.49
601689.SH,拓普集团,691.4,691.4,62.74,4.48
002045.SZ,国光电器,86.2,86.3,18.43,4.48
430139.BJ,华岭股份,14.2,28.7,10.74,4.47
600751.SH,海航科技,66.4,74.8,2.58,4.45
300847.SZ,中船汉光,36.1,70.8,23.93,4.45
002881.SZ,美格智能,60.0,97.1,37.19,4.44
001205.SZ,盛航股份,25.3,37.1,21.7,4.43
301298.SZ,东利机械,15.6,23.2,15.83,4.42
603569.SH,长久物流,54.3,54.3,9.69,4.42
300692.SZ,中环环保,29.3,33.1,7.81,4.41
600683.SH,京投发展,40.5,40.5,5.47,4.39
600285.SH,羚锐制药,95.9,97.3,17.15,4.38
002193.SZ,如意集团,18.0,18.1,6.91,4.38
688082.SH,盛美上海,91.3,530.0,122.24,4.36
603999.SH,读者传媒,41.4,41.4,7.19,4.35
601163.SH,三角轮胎,124.6,124.6,15.58,4.35
688409.SH,富创精密,52.7,235.8,112.8,4.35
301011.SZ,华立科技,20.9,39.1,26.65,4.35
301159.SZ,三维天地,11.6,29.3,37.82,4.3
688512.SH,慧智微-U,10.9,102.0,22.55,4.3
300267.SZ,尔康制药,48.3,70.1,3.4,4.29
300805.SZ,电声股份,25.3,39.2,9.26,4.28
688053.SH,思科瑞,13.7,60.0,59.98,4.28
000410.SZ,沈阳机床,131.8,161.9,7.84,4.26
300820.SZ,英杰电气,79.6,163.8,113.95,4.23
300308.SZ,中际旭创,834.2,892.7,111.2,4.22
600757.SH,长江传媒,123.3,123.3,10.16,4.21
002826.SZ,易明医药,19.6,21.3,11.18,4.19
003020.SZ,立方制药,30.3,67.8,42.58,4.18
300628.SZ,亿联网络,283.9,496.6,39.34,4.16
600749.SH,西藏旅游,30.3,30.3,13.34,4.14
300939.SZ,秋田微,23.6,42.9,35.75,4.14
000333.SZ,美的集团,3711.4,3787.8,53.94,4.13
001218.SZ,丽臣实业,17.0,29.0,23.02,4.12
603399.SH,吉翔股份,61.0,61.7,11.9,4.11
003032.SZ,传智教育,26.5,61.3,15.24,4.1
600603.SH,广汇物流,84.4,84.4,6.86,4.1
301297.SZ,富乐德,19.4,87.8,25.94,4.09
300427.SZ,*ST红相,25.5,28.6,7.9,4.08
002599.SZ,盛通股份,30.2,41.2,7.66,4.08
300151.SZ,昌红科技,60.7,93.7,18.64,4.08
001299.SZ,美能能源,8.1,32.2,17.18,4.06
603608.SH,天创时尚,18.3,18.3,4.37,4.05
600420.SH,国药现代,142.8,160.7,12.35,4.04
600223.SH,福瑞达,107.2,107.2,10.55,4.04
301049.SZ,超越科技,5.4,19.9,21.11,4.04
301157.SZ,华塑科技,7.9,33.2,55.35,4.04
600825.SH,新华传媒,53.8,53.8,5.15,4.04
000159.SZ,国际实业,37.2,37.2,7.73,4.04
002740.SZ,*ST爱迪,10.4,11.7,2.58,4.03
600572.SH,康恩贝,178.7,179.1,6.97,4.03
688262.SH,国芯科技,114.5,146.9,61.21,4.01
300133.SZ,华策影视,131.2,153.2,8.06,4.0
300426.SZ,唐德影视,64.2,66.2,16.18,3.98
603603.SH,*ST博天,25.7,30.4,3.14,3.97
603007.SH,ST花王,14.2,14.2,4.19,3.97
600689.SH,上海三毛,14.0,18.5,9.18,3.96
600750.SH,江中药业,154.1,155.5,24.7,3.96
603101.SH,汇嘉时代,28.6,28.6,6.07,3.94
600301.SH,南化股份,30.0,118.7,18.76,3.93
600828.SH,茂业商业,68.7,68.8,3.97,3.93
000980.SZ,众泰汽车,113.6,133.6,2.65,3.92
601019.SH,山东出版,222.0,222.0,10.64,3.91
688358.SH,祥生医疗,61.7,61.7,55.07,3.91
600117.SH,*ST西钢,30.6,30.6,2.93,3.9
601968.SH,宝钢包装,60.3,75.5,6.66,3.9
300101.SZ,振芯科技,127.6,128.0,22.68,3.89
301120.SZ,新特电气,22.2,55.6,14.96,3.89
002099.SZ,海翔药业,141.8,142.8,8.82,3.89
600936.SH,广西广电,71.5,71.5,4.28,3.88
600636.SH,国新文化,63.7,63.7,14.46,3.88
600228.SH,返利科技,37.4,97.8,13.4,3.88
600535.SH,天士力,237.4,237.4,15.83,3.87
605577.SH,龙版传媒,24.3,57.3,12.89,3.87
300959.SZ,线上线下,14.4,30.9,38.67,3.87
300898.SZ,熊猫乳品,11.9,27.9,22.3,3.87
002925.SZ,盈趣科技,144.5,153.7,19.64,3.86
600719.SH,大连热电,21.8,21.8,5.39,3.85
600229.SH,城市传媒,63.4,63.4,9.44,3.85
300251.SZ,光线传媒,256.4,269.9,9.2,3.84
002173.SZ,创新医疗,46.9,56.6,12.5,3.82
300545.SZ,联得装备,32.6,51.7,29.1,3.82
600641.SH,万业企业,184.8,184.8,19.86,3.82
601116.SH,三江购物,64.1,64.1,11.7,3.82
300742.SZ,*ST越博,6.2,7.7,5.48,3.79
301012.SZ,扬电科技,18.7,29.3,24.94,3.79
603117.SH,ST万林,24.3,24.3,3.84,3.78
000153.SZ,丰原药业,31.7,33.7,10.15,3.78
600448.SH,华纺股份,19.0,19.0,3.02,3.78
300952.SZ,恒辉安防,9.5,30.8,21.23,3.76
000850.SZ,华茂股份,36.5,36.5,3.87,3.75
600234.SH,科新发展,12.9,16.7,6.36,3.75
600998.SH,九州通,311.1,311.1,16.6,3.75
603500.SH,祥和实业,33.0,33.3,13.58,3.74
300399.SZ,天利科技,28.2,28.6,14.47,3.73
301043.SZ,绿岛风,5.5,20.9,30.71,3.71
688596.SH,正帆科技,84.7,105.0,38.21,3.69
603488.SH,展鹏科技,23.0,23.0,7.89,3.68
002780.SZ,三夫户外,18.1,21.8,13.84,3.67
000066.SZ,中国长城,427.3,438.1,13.58,3.66
002327.SZ,富安娜,43.9,75.1,9.06,3.66
603136.SH,天目湖,53.0,53.0,28.46,3.64
001324.SZ,长青科技,7.5,30.6,22.2,3.64
603559.SH,ST通脉,9.4,9.4,6.59,3.62
300604.SZ,长川科技,236.2,318.0,52.3,3.61
603135.SH,中重科技,17.1,88.0,19.56,3.6
688658.SH,悦康药业,56.2,123.6,27.47,3.58
300467.SZ,迅游科技,29.6,37.0,18.23,3.58
603103.SH,横店影视,108.4,108.4,17.1,3.57
600242.SH,退市中昌,1.3,1.3,0.29,3.57
300248.SZ,新开普,42.0,50.3,10.45,3.57
603013.SH,亚普股份,77.3,77.5,15.12,3.56
002293.SZ,罗莱生活,98.6,100.2,11.93,3.56
301231.SZ,荣信文化,9.0,36.2,42.84,3.55
603662.SH,柯力传感,72.0,72.6,25.65,3.55
301017.SZ,漱玉平民,20.1,74.5,18.39,3.55
600754.SH,锦江酒店,437.6,512.3,47.88,3.55
600461.SH,洪城环境,84.9,92.3,8.47,3.55
600289.SH,ST信通,13.2,14.8,2.34,3.54
601921.SH,浙版传媒,43.3,227.8,10.25,3.54
688258.SH,卓易信息,76.6,76.6,88.1,3.53
600593.SH,大连圣亚,19.3,19.3,15.0,3.52
300528.SZ,幸福蓝海,35.1,35.1,9.42,3.52
002321.SZ,ST华英,62.9,62.9,2.95,3.51
300560.SZ,中富通,32.8,43.7,19.2,3.5
300740.SZ,水羊股份,59.0,64.5,16.57,3.5
600373.SH,中文传媒,233.1,233.1,17.2,3.49
300895.SZ,铜牛信息,24.9,52.4,37.2,3.48
300313.SZ,*ST天山,9.3,15.8,5.06,3.48
688120.SH,华海清科,93.4,387.0,362.8,3.47
300050.SZ,世纪鼎利,22.8,25.1,4.48,3.46
300209.SZ,ST有棵树,11.7,12.6,2.99,3.46
603335.SH,迪生力,24.4,24.4,5.69,3.45
688501.SH,青达环保,17.0,26.1,27.58,3.45
002159.SZ,三特索道,25.0,32.1,18.08,3.43
300540.SZ,蜀道装备,25.6,37.9,23.58,3.42
300507.SZ,苏奥传感,30.3,50.3,6.36,3.41
002061.SZ,浙江交科,110.2,110.2,4.24,3.41
002109.SZ,兴化股份,47.9,47.9,4.55,3.41
002577.SZ,雷柏科技,45.5,45.5,16.1,3.4
600161.SH,天坛生物,445.6,445.6,27.04,3.4
300987.SZ,川网传媒,21.2,38.5,22.19,3.4
000045.SZ,深纺织A,52.9,58.6,11.57,3.4
300282.SZ,*ST三盛,9.1,9.1,2.44,3.39
300270.SZ,中威电子,17.9,24.2,8.0,3.36
002494.SZ,华斯股份,13.2,17.4,4.62,3.36
300834.SZ,星辉环材,15.3,48.4,24.96,3.35
002912.SZ,中新赛克,74.1,78.0,45.67,3.35
301025.SZ,读客文化,13.9,58.1,14.51,3.35
603610.SH,麒盛科技,43.2,43.2,12.06,3.34
002878.SZ,元隆雅图,35.7,40.8,18.28,3.34
600280.SH,中央商场,31.6,31.6,2.8,3.32
603499.SH,翔港科技,18.8,18.8,9.34,3.32
000996.SZ,*ST中期,11.8,11.8,3.43,3.31
301171.SZ,易点天下,18.4,114.8,24.33,3.31
000070.SZ,特发信息,83.3,84.5,9.38,3.3
000637.SZ,ST实华,12.7,17.9,3.44,3.3
301191.SZ,菲菱科思,18.0,57.3,107.4,3.3
603598.SH,引力传媒,30.2,30.2,11.29,3.29
603324.SH,盛剑环境,17.6,49.5,39.55,3.29
600088.SH,中视传媒,61.2,61.2,15.4,3.29
301221.SZ,光庭信息,23.6,50.4,54.41,3.28
300415.SZ,伊之密,77.1,85.7,18.28,3.28
600857.SH,宁波中百,22.6,22.6,10.09,3.28
300380.SZ,安硕信息,24.4,27.4,19.62,3.26
600844.SH,丹化科技,23.4,29.0,2.85,3.26
600552.SH,凯盛科技,107.8,113.7,12.04,3.26
603567.SH,珍宝岛,161.6,161.6,17.16,3.25
603158.SH,腾龙股份,35.9,35.9,7.31,3.25
300963.SZ,中洲特材,13.0,30.2,19.39,3.25
301226.SZ,祥明智能,13.0,28.9,26.52,3.23
300527.SZ,中船应急,89.4,89.4,9.28,3.23
688080.SH,映翰通,37.2,37.2,70.8,3.21
603368.SH,柳药集团,85.2,85.2,23.51,3.2
600193.SH,创兴资源,23.3,23.3,5.48,3.2
300612.SZ,宣亚国际,38.5,38.5,24.19,3.2
600987.SH,航民股份,75.2,81.5,7.76,3.19
000796.SZ,*ST凯撒,28.6,28.6,3.56,3.19
002343.SZ,慈文传媒,41.7,41.7,8.79,3.17
000978.SZ,桂林旅游,28.2,36.7,7.83,3.16
003008.SZ,开普检测,9.8,22.5,28.07,3.16
688419.SH,耐科装备,8.6,35.7,43.48,3.16
000430.SZ,张家界,26.1,31.9,7.87,3.15
600630.SH,龙头股份,23.7,23.7,5.58,3.14
002741.SZ,光华科技,58.8,69.5,17.44,3.13
301088.SZ,戎美股份,10.3,40.5,17.77,3.13
600993.SH,马应龙,131.8,132.0,30.63,3.13
605189.SH,富春染织,8.4,25.3,16.91,3.11
688290.SH,景业智能,31.8,69.9,70.71,3.11
603997.SH,继峰股份,168.4,168.4,14.95,3.1
001209.SZ,洪兴股份,6.6,21.4,16.3,3.1
002951.SZ,金时科技,40.5,40.5,9.99,3.1
301211.SZ,亨迪药业,20.4,81.5,28.31,3.1
002575.SZ,群兴玩具,31.4,33.0,5.33,3.09
601566.SH,九牧王,67.2,67.2,11.7,3.08
300910.SZ,瑞丰新材,113.8,187.1,64.9,3.08
600192.SH,长城电工,25.2,25.2,5.71,3.07
003011.SZ,海象新材,17.3,32.1,31.24,3.07
301093.SZ,华兰股份,32.6,45.7,33.64,3.06
002906.SZ,华阳集团,135.9,136.2,28.6,3.06
603948.SH,建业股份,38.8,39.5,24.28,3.06
688288.SH,鸿泉物联,25.1,25.1,24.99,3.05
000909.SZ,ST数源,22.3,26.1,5.75,3.05
601929.SH,吉视传媒,67.0,67.0,2.03,3.05
002705.SZ,新宝股份,145.1,145.8,17.63,3.04
688160.SH,步科股份,13.2,39.9,47.5,3.04
000409.SZ,云鼎科技,37.6,58.9,8.87,3.02
301366.SZ,一博科技,13.3,56.7,68.04,3.01
603015.SH,弘讯科技,34.6,34.6,8.55,3.01
300140.SZ,中环装备,37.7,38.1,8.91,3.01
301361.SZ,众智科技,8.4,33.5,28.8,3.0
688058.SH,宝兰德,36.1,36.1,64.48,3.0
688018.SH,乐鑫科技,124.3,124.3,154.0,3.0
603096.SH,新经典,37.3,37.3,22.98,3.0
000584.SZ,ST工智,33.3,33.9,4.46,3.0
000838.SZ,财信发展,39.8,41.6,3.78,3.0
603003.SH,龙宇股份,38.8,38.8,9.63,2.99
300027.SZ,华谊兄弟,71.4,86.0,3.1,2.99
603230.SH,内蒙新华,12.6,50.0,14.13,2.99
002425.SZ,凯撒文化,56.0,56.1,5.86,2.99
688535.SH,华海诚科,10.3,50.7,62.82,2.98
300591.SZ,万里马,20.3,26.7,6.59,2.97
600493.SH,凤竹纺织,15.1,15.1,5.56,2.96
600865.SH,百大集团,35.4,35.4,9.42,2.95
300058.SZ,蓝色光标,276.0,296.4,11.9,2.94
300711.SZ,广哈通信,32.1,32.3,12.96,2.94
603138.SH,海量数据,63.3,63.7,22.49,2.93
002131.SZ,利欧股份,143.5,166.2,2.46,2.93
000972.SZ,中基健康,27.1,27.1,3.52,2.92
688210.SH,统联精密,20.1,30.9,19.72,2.92
300049.SZ,福瑞股份,66.1,75.4,28.66,2.91
688127.SH,蓝特光学,31.5,74.0,18.4,2.91
600880.SH,博瑞传播,69.6,69.6,6.37,2.91
300669.SZ,沪宁股份,24.8,26.7,13.83,2.9
603130.SH,云中马,8.2,32.8,23.41,2.9
603238.SH,XD诺邦股,21.4,21.6,12.07,2.9
301004.SZ,嘉益股份,9.2,38.4,36.94,2.9
300649.SZ,杭州园林,22.8,28.7,21.67,2.9
300806.SZ,斯迪克,47.0,88.7,19.55,2.89
002838.SZ,道恩股份,68.9,79.6,17.78,2.89
603839.SH,安正时尚,31.3,31.3,7.83,2.89
601288.SH,农业银行,10654.5,12459.4,3.56,2.89
000766.SZ,通化金马,45.3,51.6,5.34,2.89
600052.SH,东望时代,39.1,39.1,4.63,2.89
603811.SH,诚意药业,44.1,44.1,18.88,2.89
